Purchase_ID,Purchase_Line_Number,Date_ID,Transaction_Date,Document_ID,Product_ID,Supplier_ID,Employee_ID,Business_Line_ID,Account_ID,PO_Number,Supplier_Invoice_Number,Purchase_Type,Payment_Terms,Payment_Status,Delivery_Status,Quantity_Ordered,Quantity_Received,Unit_Cost,Freight_Cost,Tax_Pct,Warehouse_Destination,Incoterms,Currency,Exchange_Rate,Quality_Check_Status,Defect_Rate_Pct,Approved_By,Received_By,Notes,Expected_Delivery_Date,Actual_Delivery_Date,Net_Amount,Tax_Amount,Total_Amount,Total_Amount_RON,Quantity_Variance,Delivery_Delay_Days
11,5,20230225,2023-02-25 00:00:00,DOC000524,PRD00427,SUPP00137,EMP00149,BL004,ACC20001,PO-957406,SINV-163884,Stock,Net 90,Paid,Delivered,115,432,297.97,125.73,19,WH_Cluj,DDP,RON,0.9606,Passed,4,EMP00146,EMP00044,Rush Order,2023-03-24 00:00:00,2023-03-10 00:00:00,128723.04,24457.38,153306.15,147265.89,317,-14
12,1,20230107,2023-01-07 00:00:00,DOC002028,PRD00232,SUPP00007,EMP00178,BL003,ACC20001,PO-983438,SINV-536984,Stock,Net 30,Paid,In Transit,321,440,280.95,178.45,19,WH_Timisoara,CIF,EUR,1.0159,Passed,2.48,EMP00199,EMP00182,,2023-01-22 00:00:00,2023-01-18 00:00:00,123618,23487.42,147283.87,149625.68,119,-4
13,11,20240730,2024-07-30 00:00:00,DOC004267,PRD00266,SUPP00008,EMP00039,BL002,ACC20002,PO-101876,SINV-953264,Stock,Net 60,Paid,Delivered,417,87,234.95,75.76,19,WH_Timisoara,DDP,RON,0.9933,Passed,3.87,EMP00044,EMP00208,,2024-08-11 00:00:00,2024-08-13 00:00:00,20440.65,3883.72,24400.13,24236.65,-330,2
14,2,20240909,2024-09-09 00:00:00,DOC001779,PRD00355,SUPP00045,EMP00243,BL002,ACC20001,PO-517749,SINV-135022,Direct,Net 30,Overdue,In Transit,380,248,420.64,54.05,19,WH_Timisoara,FOB,RON,0.9824,Passed,1.43,EMP00196,EMP00179,,2024-10-19 00:00:00,2024-09-20 00:00:00,104318.72,19820.56,124193.33,122007.53,-132,-29
15,11,20250924,2025-09-24 00:00:00,DOC001980,PRD00354,SUPP00189,EMP00175,BL001,ACC20001,PO-448481,SINV-793819,Stock,Net 30,Paid,Delivered,455,385,417.33,53.38,19,WH_Timisoara,DDP,RON,1.0371,Passed,0.98,EMP00056,EMP00193,,2025-10-27 00:00:00,2025-10-04 00:00:00,160672.05,30527.69,191253.12,198348.61,-70,-23
16,4,20250828,2025-08-28 00:00:00,DOC004513,PRD00420,SUPP00140,EMP00225,BL004,ACC20002,PO-637680,SINV-312733,Stock,Net 30,Paid,Delivered,423,320,157.99,120.1,19,WH_Timisoara,CIF,RON,0.998,Passed,3.06,EMP00214,EMP00100,Partial Delivery,2025-10-01 00:00:00,2025-09-13 00:00:00,50556.8,9605.79,60282.69,60162.12,-103,-18
17,10,20240109,2024-01-09 00:00:00,DOC000748,PRD00254,SUPP00007,EMP00165,BL002,ACC20002,PO-687139,SINV-228206,Asset,Net 90,Paid,In Transit,400,59,412.37,19.69,19,WH_Cluj,CIF,RON,0.9802,Passed,3.16,EMP00066,EMP00033,,2024-01-21 00:00:00,2024-02-15 00:00:00,24329.83,4622.67,28972.19,28398.54,-341,25
18,10,20240127,2024-01-27 00:00:00,DOC002174,PRD00362,SUPP00198,EMP00163,BL005,ACC20002,PO-468481,SINV-131436,Service,Net 30,Paid,Delivered,71,69,22.18,5.22,19,WH_Cluj,EXW,RON,0.9937,Passed,0.36,EMP00196,EMP00037,,2024-03-06 00:00:00,2024-02-09 00:00:00,1530.42,290.78,1826.42,1814.91,-2,-26
19,13,20240326,2024-03-26 00:00:00,DOC001758,PRD00355,SUPP00085,EMP00010,BL002,ACC20002,PO-461855,SINV-215105,Stock,Net 30,Pending,Delivered,245,218,145.07,152.58,19,WH_Timisoara,EXW,RON,0.9866,Passed,1.16,EMP00080,EMP00192,,2024-04-18 00:00:00,2024-05-10 00:00:00,31625.26,6008.8,37786.64,37280.3,-27,22
20,12,20240524,2024-05-24 00:00:00,DOC004167,PRD00184,SUPP00095,EMP00200,BL004,ACC20002,PO-789789,SINV-829898,Stock,Net 60,Partial,Delivered,63,103,299.24,162.16,19,WH_Timisoara,DDP,RON,1.026,Passed,2.91,EMP00188,EMP00023,Quality Issues,2024-06-02 00:00:00,2024-07-09 00:00:00,30821.72,5856.13,36840.01,37797.85,40,37
21,13,20231118,2023-11-18 00:00:00,DOC002456,PRD00209,SUPP00064,EMP00243,BL005,ACC20002,PO-529978,SINV-898529,Direct,Net 30,Paid,Delivered,476,70,120.54,188.59,19,WH_Cluj,FOB,RON,1.0496,Pending,3.64,EMP00219,EMP00238,Rush Order,2023-12-03 00:00:00,2023-12-06 00:00:00,8437.8,1603.18,10229.57,10736.96,-406,3
22,6,20251109,2025-11-09 00:00:00,DOC000077,PRD00081,SUPP00163,EMP00165,BL003,ACC20002,PO-794820,SINV-210952,Direct,Net 30,Paid,Delivered,263,498,223.07,119.02,19,WH_Cluj,EXW,RON,0.9862,Passed,2.59,EMP00141,EMP00159,,2025-11-19 00:00:00,2025-12-07 00:00:00,111088.86,21106.88,132314.76,130488.82,235,18
23,13,20230405,2023-04-05 00:00:00,DOC000542,PRD00354,SUPP00099,EMP00039,BL002,ACC20001,PO-577306,SINV-834994,Stock,Net 60,Paid,Delivered,19,42,142.32,102.69,19,WH_Bucharest,DDP,RON,1.0411,Passed,1.35,EMP00247,EMP00017,Quality Issues,2023-05-07 00:00:00,2023-04-20 00:00:00,5977.44,1135.71,7215.84,7512.41,23,-17
24,6,20250608,2025-06-08 00:00:00,DOC001492,PRD00069,SUPP00122,EMP00099,BL003,ACC20001,PO-266094,SINV-520137,Service,Net 90,Pending,Delivered,69,448,458.25,16.51,19,WH_Bucharest,EXW,RON,1.0255,Passed,2.97,EMP00157,EMP00165,,2025-06-24 00:00:00,2025-07-09 00:00:00,205296,39006.24,244318.75,250548.88,379,15
25,12,20240531,2024-05-31 00:00:00,DOC001528,PRD00223,SUPP00095,EMP00010,BL006,ACC20002,PO-156084,SINV-281454,Direct,Net 90,Overdue,Delivered,498,343,491.1,25.41,19,WH_Cluj,CIF,RON,1.0211,Passed,4.64,EMP00074,EMP00026,,2024-07-14 00:00:00,2024-06-29 00:00:00,168447.3,32004.99,200477.7,204707.78,-155,-15
26,10,20241208,2024-12-08 00:00:00,DOC001257,PRD00238,SUPP00174,EMP00178,BL003,ACC20002,PO-707794,SINV-496871,Stock,Net 30,Paid,Delivered,414,218,86.92,189.68,19,WH_Bucharest,EXW,RON,1.0033,Passed,0.95,EMP00148,EMP00093,,2024-12-30 00:00:00,2024-12-15 00:00:00,18948.56,3600.23,22738.47,22813.51,-196,-15
27,11,20230213,2023-02-13 00:00:00,DOC002165,PRD00373,SUPP00076,EMP00165,BL006,ACC20002,PO-397947,SINV-673689,Stock,Net 90,Pending,Partial,98,271,405.54,16.42,19,WH_Bucharest,DDP,EUR,0.9852,Passed,2.7,EMP00091,EMP00078,,2023-02-24 00:00:00,2023-02-28 00:00:00,109901.34,20881.25,130799.01,128863.18,173,4
28,5,20231221,2023-12-21 00:00:00,DOC000209,PRD00357,SUPP00019,EMP00243,BL004,ACC20002,PO-659819,SINV-577288,Direct,Net 30,Paid,Delivered,387,268,280.11,19.41,19,WH_Timisoara,FOB,RON,0.9621,Passed,0.98,EMP00165,EMP00065,,2024-01-09 00:00:00,2024-01-24 00:00:00,75069.48,14263.2,89352.09,85965.65,-119,15
29,7,20250202,2025-02-02 00:00:00,DOC003367,PRD00484,SUPP00166,EMP00165,BL004,ACC20001,PO-335648,SINV-252904,Stock,Net 30,Partial,Delivered,422,191,498.14,148.26,19,WH_Bucharest,CIF,RON,0.9878,N/A,3.6,EMP00229,EMP00027,,2025-02-24 00:00:00,2025-03-11 00:00:00,95144.74,18077.5,113370.5,111987.38,-231,15
30,10,20250914,2025-09-14 00:00:00,DOC002849,PRD00400,SUPP00140,EMP00007,BL001,ACC20002,PO-375890,SINV-561673,Stock,Net 30,Paid,Delivered,173,469,42.47,152.99,19,WH_Bucharest,EXW,RON,0.9597,Passed,2.04,EMP00023,EMP00190,,2025-10-12 00:00:00,2025-10-15 00:00:00,19918.43,3784.5,23855.92,22894.53,296,3
31,14,20230711,2023-07-11 00:00:00,DOC001561,PRD00310,SUPP00071,EMP00192,BL003,ACC20001,PO-386605,SINV-453574,Stock,Net 60,Paid,Delivered,368,15,181.62,194.87,19,WH_Timisoara,DDP,RON,0.9638,Passed,4.13,EMP00176,EMP00066,,2023-07-28 00:00:00,2023-07-18 00:00:00,2724.3,517.62,3436.79,3312.38,-353,-10
32,1,20241027,2024-10-27 00:00:00,DOC001185,PRD00093,SUPP00009,EMP00194,BL006,ACC20002,PO-534048,SINV-442440,Stock,Net 90,Pending,Partial,474,205,35.1,138.33,19,WH_Cluj,CIF,RON,0.9564,Passed,3,EMP00057,EMP00092,,2024-11-26 00:00:00,2024-11-28 00:00:00,7195.5,1367.14,8700.97,8321.61,-269,2
33,5,20250204,2025-02-04 00:00:00,DOC003381,PRD00457,SUPP00074,EMP00010,BL004,ACC20002,PO-333512,SINV-430539,Stock,Net 30,Partial,Delivered,240,221,355.18,87.21,19,WH_Cluj,FOB,EUR,0.9872,Passed,4.32,EMP00242,EMP00135,,2025-03-03 00:00:00,2025-03-25 00:00:00,78494.78,14914.01,93496,92299.25,-19,22
34,8,20251217,2025-12-17 00:00:00,DOC002801,PRD00305,SUPP00133,EMP00243,BL002,ACC20002,PO-722242,SINV-908262,Asset,COD,Paid,Delivered,125,213,317.91,99.46,19,WH_Timisoara,DDP,RON,1.0461,Pending,4.37,EMP00241,EMP00193,,2026-01-30 00:00:00,2026-01-27 00:00:00,67714.83,12865.82,80680.11,84399.46,88,-3
35,13,20230604,2023-06-04 00:00:00,DOC002531,PRD00394,SUPP00149,EMP00135,BL003,ACC20002,PO-183285,SINV-930716,Service,Net 90,Pending,Delivered,320,45,267.34,182.99,19,WH_Bucharest,EXW,RON,1.0261,N/A,1.74,EMP00072,EMP00075,,2023-06-12 00:00:00,2023-07-16 00:00:00,12030.3,2285.76,14499.05,14877.48,-275,34
36,11,20251127,2025-11-27 00:00:00,DOC000077,PRD00327,SUPP00104,EMP00165,BL004,ACC20001,PO-695098,SINV-430281,Direct,Net 30,Pending,Delivered,420,170,428.28,80.57,19,WH_Cluj,EXW,RON,0.9871,Passed,0.03,EMP00091,EMP00185,,2025-12-08 00:00:00,2025-12-09 00:00:00,72807.6,13833.44,86721.61,85602.9,-250,1
37,3,20230415,2023-04-15 00:00:00,DOC003027,PRD00234,SUPP00012,EMP00141,BL003,ACC20001,PO-523645,SINV-891352,Stock,Net 60,Paid,Delivered,59,497,431.75,156.82,19,WH_Bucharest,CIF,RON,1.0164,Passed,4.89,EMP00006,EMP00249,,2023-04-25 00:00:00,2023-06-02 00:00:00,214579.75,40770.15,255506.72,259697.03,438,38
38,15,20250626,2025-06-26 00:00:00,DOC003717,PRD00158,SUPP00126,EMP00086,BL006,ACC20001,PO-497004,SINV-922635,Stock,Net 30,Paid,Delivered,176,262,329.72,69.36,19,WH_Cluj,FOB,RON,0.9723,N/A,2.25,EMP00204,EMP00189,,2025-07-11 00:00:00,2025-07-02 00:00:00,86386.64,16413.46,102869.46,100019.98,86,-9
39,9,20250130,2025-01-30 00:00:00,DOC004345,PRD00200,SUPP00102,EMP00025,BL005,ACC20002,PO-798372,SINV-101198,Direct,Net 30,Paid,Delivered,446,175,184.04,44.58,19,WH_Bucharest,FOB,RON,1.0459,Passed,0.88,EMP00079,EMP00144,,2025-03-09 00:00:00,2025-03-01 00:00:00,32207,6119.33,38370.91,40132.13,-271,-8
40,9,20250714,2025-07-14 00:00:00,DOC001200,PRD00393,SUPP00105,EMP00141,BL005,ACC20002,PO-341725,SINV-447521,Stock,Prepaid,Paid,Pending,338,74,303.85,162.02,19,WH_Timisoara,CIF,RON,0.9699,Pending,4.92,EMP00026,EMP00213,,2025-08-25 00:00:00,2025-07-28 00:00:00,22484.9,4272.13,26919.05,26108.79,-264,-28
41,11,20241031,2024-10-31 00:00:00,DOC004332,PRD00410,SUPP00133,EMP00225,BL006,ACC20002,PO-800726,SINV-952968,Stock,Net 30,Overdue,Delivered,48,14,418.38,106.62,19,WH_Bucharest,CIF,RON,0.9937,Passed,3.28,EMP00014,EMP00106,Delayed,2024-11-29 00:00:00,2024-12-03 00:00:00,5857.32,1112.89,7076.83,7032.25,-34,4
42,15,20230305,2023-03-05 00:00:00,DOC004275,PRD00278,SUPP00160,EMP00215,BL005,ACC20001,PO-947244,SINV-333254,Service,Net 30,Paid,Delivered,23,53,282.42,82.8,19,WH_Bucharest,DDP,RON,1.0281,Passed,0.69,EMP00154,EMP00116,,2023-03-27 00:00:00,2023-04-01 00:00:00,14968.26,2843.97,17895.03,18397.88,30,5
43,8,20230103,2023-01-03 00:00:00,DOC004466,PRD00380,SUPP00167,EMP00039,BL006,ACC20002,PO-841585,SINV-215352,Direct,Net 30,Pending,Delivered,41,57,26.47,137.04,19,WH_Cluj,CIF,RON,1.0071,Passed,0.18,EMP00215,EMP00064,,2023-01-18 00:00:00,2023-02-17 00:00:00,1508.79,286.67,1932.5,1946.22,16,30
44,8,20230527,2023-05-27 00:00:00,DOC004349,PRD00113,SUPP00161,EMP00119,BL006,ACC20002,PO-236972,SINV-930198,Service,Prepaid,Paid,Pending,126,245,317.87,11.03,19,WH_Bucharest,DDP,EUR,0.9917,Passed,4.17,EMP00201,EMP00067,,2023-06-10 00:00:00,2023-07-12 00:00:00,77878.15,14796.85,92686.03,91916.74,119,32
45,12,20250801,2025-08-01 00:00:00,DOC001069,PRD00187,SUPP00153,EMP00025,BL003,ACC20002,PO-495930,SINV-522717,Stock,Net 90,Paid,Pending,296,331,162.27,57.95,19,WH_Bucharest,CIF,RON,1.0029,Passed,4.45,EMP00155,EMP00030,,2025-08-08 00:00:00,2025-08-31 00:00:00,53711.37,10205.16,63974.48,64160.01,35,23
46,8,20240126,2024-01-26 00:00:00,DOC002217,PRD00010,SUPP00152,EMP00149,BL003,ACC20001,PO-456508,SINV-815366,Asset,Net 30,Paid,Delivered,418,158,471.59,135.28,19,WH_Bucharest,FOB,RON,1.0075,Passed,3.6,EMP00109,EMP00024,,2024-02-18 00:00:00,2024-02-13 00:00:00,74511.22,14157.13,88803.63,89469.66,-260,-5
47,15,20240420,2024-04-20 00:00:00,DOC002960,PRD00163,SUPP00005,EMP00073,BL002,ACC20002,PO-749887,SINV-782162,Stock,Net 30,Paid,Pending,295,423,94.97,54.16,19,WH_Timisoara,FOB,RON,1.0364,Passed,2.87,EMP00154,EMP00170,,2024-05-21 00:00:00,2024-05-04 00:00:00,40172.31,7632.74,47859.21,49601.29,128,-17
48,11,20240730,2024-07-30 00:00:00,DOC000121,PRD00293,SUPP00163,EMP00192,BL003,ACC20002,PO-546446,SINV-394880,Stock,Net 90,Pending,In Transit,249,92,288.94,154.79,19,WH_Cluj,CIF,RON,0.994,Passed,1.47,EMP00135,EMP00063,,2024-08-20 00:00:00,2024-09-02 00:00:00,26582.48,5050.67,31787.94,31597.21,-157,13
49,5,20231203,2023-12-03 00:00:00,DOC004479,PRD00062,SUPP00199,EMP00175,BL006,ACC20002,PO-124411,SINV-618363,Stock,Prepaid,Paid,Delivered,194,23,465.26,59.67,19,WH_Timisoara,EXW,RON,0.9874,Passed,1.11,EMP00185,EMP00212,,2023-12-14 00:00:00,2023-12-18 00:00:00,10700.98,2033.19,12793.84,12632.64,-171,4
50,2,20250302,2025-03-02 00:00:00,DOC004833,PRD00447,SUPP00134,EMP00025,BL002,ACC20001,PO-410370,SINV-731421,Service,Net 90,Paid,In Transit,441,196,424.74,182.61,19,WH_Cluj,EXW,EUR,1.0217,Passed,4.89,EMP00110,EMP00190,,2025-04-08 00:00:00,2025-04-11 00:00:00,83249.04,15817.32,99248.97,101402.67,-245,3
51,14,20240905,2024-09-05 00:00:00,DOC004694,PRD00210,SUPP00183,EMP00066,BL002,ACC20001,PO-633099,SINV-675854,Stock,Net 60,Paid,Delivered,45,183,417.98,129.22,19,WH_Timisoara,FOB,RON,1.0367,Passed,0.98,EMP00130,EMP00030,,2024-10-07 00:00:00,2024-10-16 00:00:00,76490.34,14533.16,91152.72,94498.02,138,9
52,11,20230704,2023-07-04 00:00:00,DOC004130,PRD00145,SUPP00011,EMP00189,BL005,ACC20002,PO-600481,SINV-189905,Stock,Prepaid,Paid,Partial,249,337,227.66,7.03,19,WH_Bucharest,FOB,RON,1.0343,Pending,4.03,EMP00009,EMP00067,,2023-07-22 00:00:00,2023-08-22 00:00:00,76721.42,14577.07,91305.52,94437.3,88,31
53,7,20231121,2023-11-21 00:00:00,DOC001757,PRD00401,SUPP00088,EMP00175,BL005,ACC20002,PO-462459,SINV-322845,Direct,Net 90,Paid,Delivered,395,134,78.84,93.7,19,WH_Cluj,EXW,RON,0.9952,Passed,3.34,EMP00139,EMP00057,,2023-12-28 00:00:00,2023-12-11 00:00:00,10564.56,2007.27,12665.53,12604.74,-261,-17
54,12,20230616,2023-06-16 00:00:00,DOC002174,PRD00364,SUPP00086,EMP00149,BL006,ACC20002,PO-271485,SINV-613239,Direct,Net 60,Paid,Delivered,14,261,15.69,97.37,19,WH_Cluj,EXW,RON,1.0063,Passed,0.37,EMP00209,EMP00128,Rush Order,2023-07-13 00:00:00,2023-06-26 00:00:00,4095.09,778.07,4970.53,5001.84,247,-17
55,14,20230709,2023-07-09 00:00:00,DOC001811,PRD00048,SUPP00012,EMP00175,BL004,ACC20002,PO-722991,SINV-509903,Stock,Net 30,Paid,Delivered,319,324,311.34,80.24,19,WH_Cluj,FOB,RON,0.9834,Passed,2.9,EMP00131,EMP00047,Rush Order,2023-07-21 00:00:00,2023-08-01 00:00:00,100874.16,19166.09,120120.49,118126.49,5,11
56,7,20240904,2024-09-04 00:00:00,DOC004280,PRD00476,SUPP00125,EMP00250,BL002,ACC20001,PO-806720,SINV-645113,Stock,Net 60,Paid,Partial,340,246,446.52,186.06,19,WH_Bucharest,CIF,EUR,0.9577,Passed,2.08,EMP00079,EMP00047,Rush Order,2024-09-11 00:00:00,2024-10-23 00:00:00,109843.92,20870.34,130900.32,125363.24,-94,42
57,12,20230220,2023-02-20 00:00:00,DOC001438,PRD00097,SUPP00077,EMP00165,BL004,ACC20002,PO-986635,SINV-655636,Service,Net 90,Pending,Delivered,217,427,214.74,170.55,19,WH_Timisoara,CIF,RON,1.0186,Failed,1.06,EMP00145,EMP00144,,2023-04-04 00:00:00,2023-03-13 00:00:00,91693.98,17421.86,109286.39,111319.12,210,-22
58,8,20231209,2023-12-09 00:00:00,DOC002926,PRD00402,SUPP00095,EMP00192,BL004,ACC20002,PO-584157,SINV-587675,Service,Net 90,Paid,Delivered,431,152,30.21,78.82,19,WH_Bucharest,CIF,RON,0.9604,Passed,3.66,EMP00230,EMP00084,,2023-12-17 00:00:00,2024-01-03 00:00:00,4591.92,872.46,5543.2,5323.69,-279,17
59,15,20250327,2025-03-27 00:00:00,DOC003540,PRD00356,SUPP00189,EMP00007,BL001,ACC20002,PO-695383,SINV-748693,Stock,Net 60,Paid,Partial,366,328,249.1,96.19,19,WH_Timisoara,FOB,RON,1.0387,Passed,0.98,EMP00059,EMP00216,,2025-04-05 00:00:00,2025-04-19 00:00:00,81704.8,15523.91,97324.9,101091.37,-38,14
60,7,20231113,2023-11-13 00:00:00,DOC002335,PRD00118,SUPP00125,EMP00192,BL003,ACC20001,PO-354622,SINV-755493,Stock,Net 30,Paid,Delivered,456,491,202.27,40.69,19,WH_Timisoara,DDP,RON,1.0183,Failed,1.28,EMP00250,EMP00039,,2023-12-02 00:00:00,2023-12-15 00:00:00,99314.57,18869.77,118225.03,120388.55,35,13
61,2,20251225,2025-12-25 00:00:00,DOC002734,PRD00301,SUPP00169,EMP00099,BL006,ACC20002,PO-883394,SINV-726154,Stock,Net 60,Pending,Delivered,176,452,70.04,137.76,19,WH_Bucharest,CIF,RON,1.0159,Passed,0.85,EMP00051,EMP00072,,2026-01-26 00:00:00,2026-01-06 00:00:00,31658.08,6015.04,37810.88,38412.07,276,-20
62,5,20251002,2025-10-02 00:00:00,DOC001168,PRD00436,SUPP00167,EMP00135,BL003,ACC20001,PO-129467,SINV-254587,Stock,Net 60,Partial,Delivered,274,449,388.34,10.45,19,WH_Timisoara,FOB,RON,0.9501,Passed,3.64,EMP00219,EMP00015,,2025-11-02 00:00:00,2025-11-15 00:00:00,174364.66,33129.29,207504.4,197149.93,175,13
63,2,20250206,2025-02-06 00:00:00,DOC002874,PRD00213,SUPP00186,EMP00225,BL004,ACC20002,PO-355931,SINV-784193,Stock,Net 30,Partial,Delivered,368,195,162.57,141.17,19,WH_Timisoara,DDP,RON,1.0038,Passed,1.94,EMP00101,EMP00110,Quality Issues,2025-03-07 00:00:00,2025-02-19 00:00:00,31701.15,6023.22,37865.54,38009.43,-173,-16
64,11,20230115,2023-01-15 00:00:00,DOC004648,PRD00384,SUPP00069,EMP00189,BL001,ACC20002,PO-430687,SINV-346650,Service,Net 30,Pending,Partial,209,495,333.33,106.65,19,WH_Timisoara,CIF,RON,0.9921,Passed,0.25,EMP00197,EMP00049,,2023-02-28 00:00:00,2023-01-30 00:00:00,164998.35,31349.69,196454.69,194902.7,286,-29
65,10,20231002,2023-10-02 00:00:00,DOC002917,PRD00346,SUPP00123,EMP00178,BL003,ACC20001,PO-629084,SINV-561685,Stock,Net 30,Partial,Delivered,274,497,28.46,136.73,19,WH_Timisoara,EXW,RON,1.0047,Passed,1.42,EMP00216,EMP00020,,2023-10-22 00:00:00,2023-11-03 00:00:00,14144.62,2687.48,16968.83,17048.58,223,12
66,5,20240224,2024-02-24 00:00:00,DOC001332,PRD00140,SUPP00067,EMP00149,BL002,ACC20002,PO-721292,SINV-883704,Stock,Net 90,Paid,Delivered,146,213,6.79,143.32,19,WH_Timisoara,CIF,RON,0.9838,Passed,0.71,EMP00166,EMP00186,,2024-03-07 00:00:00,2024-03-19 00:00:00,1446.27,274.79,1864.38,1834.18,67,12
67,12,20240627,2024-06-27 00:00:00,DOC003389,PRD00052,SUPP00192,EMP00010,BL005,ACC20001,PO-536560,SINV-414462,Stock,Prepaid,Pending,Delivered,184,334,77.82,159.44,19,WH_Timisoara,DDP,USD,1.0074,Passed,2.84,EMP00020,EMP00061,,2024-07-11 00:00:00,2024-07-07 00:00:00,25991.88,4938.46,31089.78,31319.84,150,-4
68,13,20231121,2023-11-21 00:00:00,DOC004282,PRD00285,SUPP00136,EMP00031,BL003,ACC20001,PO-643873,SINV-404307,Stock,Net 90,Paid,Delivered,426,205,283.35,163.95,19,WH_Timisoara,CIF,RON,0.9648,Passed,1.75,EMP00053,EMP00008,,2024-01-01 00:00:00,2023-12-26 00:00:00,58086.75,11036.48,69287.18,66848.27,-221,-6
