Sales_ID,Sales_Line_Number,Date_ID,Transaction_DateTime,Document_ID,Product_ID,Customer_ID,Employee_ID,Business_Line_ID,Account_ID,Order_Number,Invoice_Number,Sales_Channel,Payment_Method,Payment_Status,Delivery_Method,Quantity,Unit_Price,Unit_Cost,Discount_Pct,Tax_Pct,Promotion_Code,Customer_Segment_Override,Sales_Region,Warehouse_Location,Created_By,Modified_By,Is_Return,Return_Reason,Notes,Gross_Amount,Discount_Amount,Net_Amount,Tax_Amount,Total_Amount,Cost_Amount,Profit_Amount,Profit_Margin_Pct,Created_Date,Modified_Date
11,5,20250301,2025-03-01 18:23:00,DOC002464,PRD00024,CUST000140,EMP00051,BL004,ACC10002,ORD-872475,INV-905827,In-Store,Credit Card,Paid,Standard,98,336.37,124.31,10,19,,,East,WH_Timisoara,EMP00187,EMP00122,0,,,32964.26,3296.43,29667.83,5636.89,35304.72,12182.38,17485.45,58.94,2025-03-01 00:00:00,2025-03-04 00:00:00
12,8,20240506,2024-05-06 14:49:00,DOC001205,PRD00474,CUST000732,EMP00190,BL006,ACC10002,ORD-423244,INV-770577,Online,Cash,Pending,Express,89,558.94,122.01,0,19,SUMMER23,,Central,WH_Bucharest,EMP00208,EMP00233,0,,,49745.66,0,49745.66,9451.68,59197.34,10858.89,38886.77,78.17,2024-05-06 00:00:00,2024-05-09 00:00:00
13,2,20230813,2023-08-13 18:04:00,DOC004972,PRD00148,CUST000702,EMP00098,BL006,ACC10001,ORD-457461,INV-928915,Online,Cash,Paid,Express,86,532.07,28.42,10,19,,,Central,WH_Bucharest,EMP00128,EMP00220,0,,,45758.02,4575.8,41182.22,7824.62,49006.84,2444.12,38738.1,94.07,2023-08-13 00:00:00,2023-08-17 00:00:00
14,6,20250913,2025-09-13 12:20:00,DOC001050,PRD00308,CUST000329,EMP00049,BL005,ACC10002,ORD-659812,INV-642552,In-Store,Credit Card,Paid,Standard,65,163.56,296.76,0,19,BLACK_FRIDAY,,West,WH_Timisoara,EMP00151,EMP00141,0,,,10631.4,0,10631.4,2019.97,12651.37,19289.4,-8658,-81.44,2025-09-13 00:00:00,2025-09-14 00:00:00
15,4,20240223,2024-02-23 14:05:00,DOC003504,PRD00013,CUST000663,EMP00151,BL005,ACC10001,ORD-780923,INV-242569,Mobile App,PayPal,Paid,Express,76,76.8,352.46,0,19,,,North,WH_Bucharest,EMP00137,EMP00093,0,,,5836.8,0,5836.8,1108.99,6945.79,26786.96,-20950.16,-358.93,2024-02-23 00:00:00,2024-02-25 00:00:00
16,7,20250218,2025-02-18 10:03:00,DOC004175,PRD00454,CUST000296,EMP00105,BL003,ACC10002,ORD-282986,INV-647500,Online,Credit Card,Paid,Same-Day,63,665.66,29.2,15,19,,,North,WH_Timisoara,EMP00051,EMP00017,0,,Fragile,41936.58,6290.49,35646.09,6772.76,42418.85,1839.6,33806.49,94.84,2025-02-18 00:00:00,2025-02-22 00:00:00
17,6,20230517,2023-05-17 11:08:00,DOC001215,PRD00218,CUST000710,EMP00013,BL004,ACC10001,ORD-801582,INV-611279,Partner,Credit Card,Paid,Express,16,857.69,200.26,10,19,,,West,WH_Cluj,EMP00152,EMP00142,0,,,13723.04,1372.3,12350.74,2346.64,14697.38,3204.16,9146.58,74.06,2023-05-17 00:00:00,2023-05-19 00:00:00
18,6,20230814,2023-08-14 14:04:00,DOC000335,PRD00496,CUST000306,EMP00232,BL006,ACC10002,ORD-268229,INV-772062,Online,Credit Card,Paid,Standard,19,985.15,307.5,20,19,LOYALTY10,,North,WH_Timisoara,EMP00046,EMP00100,0,,,18717.85,3743.57,14974.28,2845.11,17819.39,5842.5,9131.78,60.98,2023-08-14 00:00:00,2023-08-18 00:00:00
19,5,20231119,2023-11-19 09:03:00,DOC004717,PRD00171,CUST000064,EMP00003,BL001,ACC10001,ORD-688093,INV-755894,Online,Crypto,Paid,Express,34,556.89,451.84,10,19,,,West,WH_Timisoara,EMP00026,EMP00197,0,,,18934.26,1893.43,17040.83,3237.76,20278.59,15362.56,1678.27,9.85,2023-11-19 00:00:00,2023-11-20 00:00:00
20,5,20250322,2025-03-22 09:08:00,DOC001721,PRD00350,CUST000659,EMP00152,BL001,ACC10002,ORD-976834,INV-595981,Phone,Cash,Paid,Pickup,77,572.5,78.7,5,19,FIRST_ORDER,,South,WH_Bucharest,EMP00092,EMP00231,0,,,44082.5,2204.12,41878.38,7956.89,49835.27,6059.9,35818.48,85.53,2025-03-22 00:00:00,2025-03-23 00:00:00
21,2,20240320,2024-03-20 08:17:00,DOC001821,PRD00078,CUST000212,EMP00190,BL006,ACC10002,ORD-744335,INV-307148,In-Store,Cash,Paid,Standard,39,752.44,355.31,5,19,LOYALTY10,,West,WH_Timisoara,EMP00111,EMP00098,0,,Fragile,29345.16,1467.26,27877.9,5296.8,33174.7,13857.09,14020.81,50.29,2024-03-20 00:00:00,2024-03-21 00:00:00
22,7,20230107,2023-01-07 08:58:00,DOC003020,PRD00239,CUST000786,EMP00081,BL006,ACC10001,ORD-374540,INV-951935,Phone,Cash,Pending,Same-Day,60,253.96,133.28,10,19,LOYALTY10,,East,WH_Timisoara,EMP00195,EMP00190,0,,,15237.6,1523.76,13713.84,2605.63,16319.47,7996.8,5717.04,41.69,2023-01-07 00:00:00,2023-01-08 00:00:00
23,7,20230508,2023-05-08 19:42:00,DOC002678,PRD00245,CUST000411,EMP00098,BL006,ACC10001,ORD-923567,INV-987810,Online,Credit Card,Paid,Pickup,15,768.41,284.25,0,19,,,North,WH_Bucharest,EMP00093,EMP00098,0,,,11526.15,0,11526.15,2189.97,13716.12,4263.75,7262.4,63.01,2023-05-08 00:00:00,2023-05-10 00:00:00
24,8,20230924,2023-09-24 08:15:00,DOC004984,PRD00421,CUST000609,EMP00229,BL005,ACC10002,ORD-772740,INV-279446,Online,Credit Card,Paid,Standard,52,158.59,338.08,5,19,FIRST_ORDER,,Central,WH_Cluj,EMP00196,EMP00233,0,,,8246.68,412.33,7834.35,1488.53,9322.88,17580.16,-9745.81,-124.4,2023-09-24 00:00:00,2023-09-28 00:00:00
25,4,20241115,2024-11-15 13:01:00,DOC004306,PRD00102,CUST000093,EMP00187,BL004,ACC10001,ORD-105823,INV-209332,In-Store,Cash,Paid,Pickup,51,595.01,8.66,0,19,,,West,WH_Timisoara,EMP00169,EMP00081,0,,,30345.51,0,30345.51,5765.65,36111.16,441.66,29903.85,98.54,2024-11-15 00:00:00,2024-11-17 00:00:00
26,9,20250716,2025-07-16 12:28:00,DOC000601,PRD00030,CUST000841,EMP00037,BL006,ACC10002,ORD-834862,INV-846759,Mobile App,Credit Card,Paid,Standard,46,979.21,83.28,5,19,LOYALTY10,,East,WH_Cluj,EMP00161,EMP00068,0,,,45043.66,2252.18,42791.48,8130.38,50921.86,3830.88,38960.6,91.05,2025-07-16 00:00:00,2025-07-18 00:00:00
27,10,20230802,2023-08-02 17:47:00,DOC000564,PRD00271,CUST000493,EMP00002,BL005,ACC10001,ORD-707455,INV-950406,In-Store,Cash,Pending,Standard,92,387.87,351.35,0,19,SUMMER23,,North,WH_Bucharest,EMP00110,EMP00242,0,,,35684.04,0,35684.04,6779.97,42464.01,32324.2,3359.84,9.42,2023-08-02 00:00:00,2023-08-05 00:00:00
28,3,20230904,2023-09-04 15:50:00,DOC002209,PRD00467,CUST000812,EMP00190,BL004,ACC10002,ORD-805599,INV-312483,Online,Cash,Paid,Standard,69,416.6,102.17,20,19,FIRST_ORDER,VIP,East,WH_Timisoara,EMP00164,EMP00196,0,,Fragile,28745.4,5749.08,22996.32,4369.3,27365.62,7049.73,15946.59,69.34,2023-09-04 00:00:00,2023-09-08 00:00:00
29,3,20240225,2024-02-25 12:41:00,DOC002557,PRD00203,CUST000314,EMP00187,BL006,ACC10001,ORD-438873,INV-284538,Phone,Credit Card,Paid,Standard,36,812.35,407.44,15,19,,,Central,WH_Bucharest,EMP00202,EMP00229,0,,,29244.6,4386.69,24857.91,4723,29580.91,14667.84,10190.07,40.99,2024-02-25 00:00:00,2024-02-25 00:00:00
30,2,20251130,2025-11-30 08:35:00,DOC004933,PRD00212,CUST000062,EMP00081,BL001,ACC10001,ORD-245658,INV-807107,Mobile App,Bank Transfer,Paid,Standard,95,552.36,358.73,0,19,,,South,WH_Cluj,EMP00006,EMP00133,0,,,52474.2,0,52474.2,9970.1,62444.3,34079.35,18394.85,35.06,2025-11-30 00:00:00,2025-12-02 00:00:00
31,10,20241217,2024-12-17 19:11:00,DOC001589,PRD00153,CUST000434,EMP00214,BL006,ACC10002,ORD-495855,INV-742871,In-Store,Credit Card,Paid,Pickup,54,894.43,423.57,15,19,LOYALTY10,,North,WH_Cluj,EMP00094,EMP00144,0,,Fragile,48299.22,7244.88,41054.34,7800.32,48854.66,22872.78,18181.56,44.29,2024-12-17 00:00:00,2024-12-21 00:00:00
32,7,20230523,2023-05-23 15:57:00,DOC001043,PRD00166,CUST000603,EMP00249,BL003,ACC10002,ORD-678400,INV-500111,In-Store,Credit Card,Paid,Standard,14,240.7,359.67,10,19,LOYALTY10,,Central,WH_Bucharest,EMP00131,EMP00180,0,,,3369.8,336.98,3032.82,576.24,3609.06,5035.38,-2002.56,-66.03,2023-05-23 00:00:00,2023-05-23 00:00:00
33,10,20230521,2023-05-21 13:40:00,DOC001149,PRD00043,CUST000821,EMP00081,BL002,ACC10001,ORD-599000,INV-432399,Partner,Credit Card,Paid,Express,89,755.04,344.28,5,19,,,North,WH_Bucharest,EMP00146,EMP00144,0,,,67198.56,3359.93,63838.63,12129.34,75967.97,30640.92,33197.71,52,2023-05-21 00:00:00,2023-05-25 00:00:00
34,2,20240718,2024-07-18 15:44:00,DOC004472,PRD00414,CUST000359,EMP00232,BL003,ACC10002,ORD-390195,INV-947176,Phone,Cash,Paid,Standard,4,925.55,420.23,0,19,,,South,WH_Timisoara,EMP00087,EMP00011,0,,,3702.2,0,3702.2,703.42,4405.62,1680.92,2021.28,54.6,2024-07-18 00:00:00,2024-07-21 00:00:00
35,7,20230417,2023-04-17 09:36:00,DOC004692,PRD00040,CUST000573,EMP00126,BL004,ACC10002,ORD-485700,INV-241127,Phone,Bank Transfer,Paid,Standard,38,476.54,212.93,15,19,,,North,WH_Timisoara,EMP00141,EMP00219,0,,Gift Wrap,18108.52,2716.28,15392.24,2924.53,18316.77,8091.34,7300.9,47.43,2023-04-17 00:00:00,2023-04-18 00:00:00
36,3,20230202,2023-02-02 17:33:00,DOC000769,PRD00443,CUST000459,EMP00037,BL005,ACC10002,ORD-354844,INV-238829,Online,Credit Card,Paid,Same-Day,93,656.91,446.47,5,19,FIRST_ORDER,,West,WH_Bucharest,EMP00096,EMP00114,0,,,61092.63,3054.63,58038,11027.22,69065.22,41521.71,16516.29,28.46,2023-02-02 00:00:00,2023-02-05 00:00:00
37,1,20230429,2023-04-29 15:34:00,DOC003017,PRD00151,CUST000818,EMP00043,BL005,ACC10001,ORD-705727,INV-274900,In-Store,Credit Card,Paid,Same-Day,67,563.28,493.26,0,19,SUMMER23,,East,WH_Timisoara,EMP00121,EMP00130,0,,,37739.76,0,37739.76,7170.55,44910.31,33048.42,4691.34,12.43,2023-04-29 00:00:00,2023-04-30 00:00:00
38,8,20230817,2023-08-17 13:39:00,DOC002797,PRD00044,CUST000054,EMP00098,BL001,ACC10001,ORD-135401,INV-675600,Mobile App,Cash,Paid,Pickup,33,601.69,381.16,0,19,FIRST_ORDER,VIP,East,WH_Bucharest,EMP00199,EMP00092,0,,,19855.77,0,19855.77,3772.6,23628.37,12578.28,7277.49,36.65,2023-08-17 00:00:00,2023-08-18 00:00:00
39,8,20241118,2024-11-18 08:05:00,DOC000288,PRD00081,CUST000298,EMP00055,BL006,ACC10001,ORD-755759,INV-470917,Phone,Cash,Paid,Same-Day,40,656.03,126.59,15,19,,,North,WH_Cluj,EMP00199,EMP00194,0,,,26241.2,3936.18,22305.02,4237.95,26542.97,5063.6,17241.42,77.3,2024-11-18 00:00:00,2024-11-18 00:00:00
40,10,20250409,2025-04-09 08:36:00,DOC003467,PRD00257,CUST000699,EMP00113,BL001,ACC10002,ORD-296479,INV-496994,Online,Crypto,Paid,Express,58,246.99,216.75,0,19,,,East,WH_Bucharest,EMP00134,EMP00162,0,,Special Instructions,14325.42,0,14325.42,2721.83,17047.25,12571.5,1753.92,12.24,2025-04-09 00:00:00,2025-04-09 00:00:00
41,1,20251007,2025-10-07 17:35:00,DOC003374,PRD00490,CUST000264,EMP00002,BL003,ACC10001,ORD-978355,INV-799116,Phone,Cash,Paid,Standard,7,278.99,210.03,10,19,,,South,WH_Timisoara,EMP00194,EMP00059,0,,,1952.93,195.29,1757.64,333.95,2091.59,1470.21,287.43,16.35,2025-10-07 00:00:00,2025-10-08 00:00:00
42,6,20250429,2025-04-29 19:19:00,DOC003311,PRD00462,CUST000910,EMP00098,BL006,ACC10001,ORD-808663,INV-661545,Mobile App,Cash,Paid,Same-Day,85,343.32,265.04,25,19,,,North,WH_Bucharest,EMP00109,EMP00073,0,,Rush Order,29182.2,7295.55,21886.65,4158.46,26045.11,22528.4,-641.75,-2.93,2025-04-29 00:00:00,2025-05-01 00:00:00
43,4,20250102,2025-01-02 12:15:00,DOC002886,PRD00103,CUST000750,EMP00002,BL003,ACC10002,ORD-357114,INV-490368,In-Store,Cash,Pending,Standard,55,194.32,342.8,20,19,,,North,WH_Cluj,EMP00046,EMP00121,0,,,10687.6,2137.52,8550.08,1624.52,10174.6,18854,-10303.92,-120.51,2025-01-02 00:00:00,2025-01-05 00:00:00
44,5,20250424,2025-04-24 14:07:00,DOC000643,PRD00381,CUST000781,EMP00002,BL002,ACC10001,ORD-388042,INV-737876,Phone,Credit Card,Paid,Express,70,856.71,10.44,25,19,,,East,WH_Timisoara,EMP00169,EMP00032,0,,,59969.7,14992.42,44977.28,8545.68,53522.96,730.8,44246.48,98.38,2025-04-24 00:00:00,2025-04-27 00:00:00
45,8,20230929,2023-09-29 11:43:00,DOC002751,PRD00338,CUST000711,EMP00152,BL004,ACC10002,ORD-796190,INV-689175,Phone,Crypto,Paid,Standard,56,315.2,109.81,10,19,,,East,WH_Bucharest,EMP00233,EMP00224,0,,Gift Wrap,17651.2,1765.12,15886.08,3018.36,18904.44,6149.36,9736.72,61.29,2023-09-29 00:00:00,2023-09-30 00:00:00
46,8,20240926,2024-09-26 17:21:00,DOC001251,PRD00041,CUST000335,EMP00003,BL003,ACC10001,ORD-311387,INV-123697,Online,Bank Transfer,Paid,Standard,9,579.76,320.06,0,19,LOYALTY10,,North,WH_Bucharest,EMP00189,EMP00225,0,,,5217.84,0,5217.84,991.39,6209.23,2880.54,2337.3,44.79,2024-09-26 00:00:00,2024-09-27 00:00:00
47,7,20251028,2025-10-28 12:04:00,DOC002489,PRD00318,CUST000358,EMP00014,BL003,ACC10001,ORD-874705,INV-953925,Phone,Cash,Paid,Standard,71,137.64,175.07,25,19,BLACK_FRIDAY,VIP,South,WH_Cluj,EMP00219,EMP00131,0,,,9772.44,2443.11,7329.33,1392.57,8721.9,12429.97,-5100.64,-69.59,2025-10-28 00:00:00,2025-10-28 00:00:00
48,5,20240207,2024-02-07 17:04:00,DOC000411,PRD00188,CUST000428,EMP00109,BL001,ACC10001,ORD-747226,INV-269242,In-Store,Cash,Pending,Express,50,550,117.8,20,19,,,South,WH_Cluj,EMP00128,EMP00209,0,,,27500,5500,22000,4180,26180,5890,16110,73.23,2024-02-07 00:00:00,2024-02-10 00:00:00
49,6,20250716,2025-07-16 10:53:00,DOC004757,PRD00208,CUST000299,EMP00003,BL006,ACC10001,ORD-435955,INV-275005,Online,Crypto,Paid,Pickup,7,531.38,357.26,0,19,,,East,WH_Cluj,EMP00163,EMP00245,0,,,3719.66,0,3719.66,706.74,4426.4,2500.82,1218.84,32.77,2025-07-16 00:00:00,2025-07-17 00:00:00
50,8,20240918,2024-09-18 09:44:00,DOC003066,PRD00394,CUST000248,EMP00036,BL004,ACC10002,ORD-299564,INV-826089,In-Store,Cash,Partial,Pickup,43,503.67,415.86,15,19,FIRST_ORDER,,West,WH_Timisoara,EMP00116,EMP00217,0,,Gift Wrap,21657.81,3248.67,18409.14,3497.74,21906.88,17881.98,527.16,2.86,2024-09-18 00:00:00,2024-09-21 00:00:00
51,5,20240908,2024-09-08 09:10:00,DOC004559,PRD00108,CUST000768,EMP00190,BL001,ACC10001,ORD-679986,INV-137159,In-Store,Crypto,Paid,Express,42,589.62,456.32,5,19,,VIP,North,WH_Bucharest,EMP00065,EMP00215,0,,,24764.04,1238.2,23525.84,4469.91,27995.75,19165.44,4360.4,18.53,2024-09-08 00:00:00,2024-09-12 00:00:00
52,3,20250907,2025-09-07 12:42:00,DOC003841,PRD00329,CUST000914,EMP00153,BL002,ACC10001,ORD-664331,INV-908039,Online,Cash,Paid,Pickup,69,95.23,445.88,10,19,,,North,WH_Timisoara,EMP00029,EMP00173,0,,,6570.87,657.09,5913.78,1123.62,7037.4,30765.72,-24851.94,-420.24,2025-09-07 00:00:00,2025-09-10 00:00:00
53,9,20240620,2024-06-20 11:18:00,DOC004680,PRD00334,CUST000932,EMP00049,BL003,ACC10001,ORD-445073,INV-872749,Phone,PayPal,Paid,Standard,66,985.36,355.74,0,19,SUMMER23,,North,WH_Bucharest,EMP00017,EMP00086,0,,,65033.76,0,65033.76,12356.41,77390.17,23478.84,41554.92,63.9,2024-06-20 00:00:00,2024-06-20 00:00:00
54,9,20251212,2025-12-12 09:38:00,DOC001541,PRD00194,CUST000671,EMP00049,BL006,ACC10001,ORD-704965,INV-472398,Online,Bank Transfer,Paid,Standard,34,905.5,474.16,0,19,,,South,WH_Cluj,EMP00165,EMP00057,0,,,30787,0,30787,5849.53,36636.53,16121.44,14665.56,47.64,2025-12-12 00:00:00,2025-12-16 00:00:00
55,10,20230904,2023-09-04 12:16:00,DOC002547,PRD00057,CUST000900,EMP00058,BL003,ACC10001,ORD-148794,INV-233822,Online,Credit Card,Paid,Same-Day,39,202.65,458.8,10,19,,,West,WH_Cluj,EMP00104,EMP00025,0,,,7903.35,790.34,7113.01,1351.47,8464.48,17893.2,-10780.19,-151.56,2023-09-04 00:00:00,2023-09-04 00:00:00
56,1,20231203,2023-12-03 17:36:00,DOC003326,PRD00121,CUST000333,EMP00018,BL003,ACC10001,ORD-173065,INV-762406,Partner,Cash,Paid,Standard,7,654.23,105.4,0,19,FIRST_ORDER,,West,WH_Bucharest,EMP00062,EMP00105,0,,Gift Wrap,4579.61,0,4579.61,870.13,5449.74,737.8,3841.81,83.89,2023-12-03 00:00:00,2023-12-05 00:00:00
57,7,20230202,2023-02-02 16:37:00,DOC000622,PRD00298,CUST000807,EMP00193,BL005,ACC10001,ORD-391792,INV-514346,Online,Crypto,Paid,Express,96,683.52,109.56,0,19,SUMMER23,,North,WH_Timisoara,EMP00025,EMP00090,0,,Fragile,65617.92,0,65617.92,12467.4,78085.32,10517.76,55100.16,83.97,2023-02-02 00:00:00,2023-02-02 00:00:00
58,4,20250309,2025-03-09 15:17:00,DOC003199,PRD00438,CUST000094,EMP00214,BL004,ACC10001,ORD-252521,INV-594238,In-Store,Credit Card,Paid,Pickup,49,113.75,230.85,0,19,FIRST_ORDER,,Central,WH_Cluj,EMP00211,EMP00161,0,,Rush Order,5573.75,0,5573.75,1059.01,6632.76,11311.65,-5737.9,-102.95,2025-03-09 00:00:00,2025-03-12 00:00:00
59,6,20240701,2024-07-01 16:49:00,DOC001841,PRD00085,CUST000183,EMP00036,BL001,ACC10001,ORD-299971,INV-405142,Partner,Credit Card,Paid,Express,71,100.93,169.82,15,19,,,North,WH_Timisoara,EMP00166,EMP00150,0,,,7166.03,1074.9,6091.13,1157.31,7248.44,12057.22,-5966.09,-97.95,2024-07-01 00:00:00,2024-07-03 00:00:00
60,7,20250609,2025-06-09 16:08:00,DOC000843,PRD00426,CUST000019,EMP00190,BL001,ACC10002,ORD-722183,INV-959263,Phone,Credit Card,Paid,Express,50,511.66,484.01,5,19,,VIP,North,WH_Timisoara,EMP00045,EMP00059,0,,,25583,1279.15,24303.85,4617.73,28921.58,24200.5,103.35,0.43,2025-06-09 00:00:00,2025-06-10 00:00:00
61,8,20241229,2024-12-29 15:49:00,DOC003740,PRD00066,CUST000196,EMP00232,BL001,ACC10001,ORD-588836,INV-342329,Phone,Cash,Paid,Pickup,38,881.93,366.94,5,19,,,South,WH_Timisoara,EMP00167,EMP00216,0,,,33513.34,1675.67,31837.67,6049.16,37886.83,13943.72,17893.95,56.2,2024-12-29 00:00:00,2024-12-30 00:00:00
62,5,20230213,2023-02-13 16:50:00,DOC003586,PRD00070,CUST000065,EMP00081,BL002,ACC10002,ORD-776402,INV-537051,Mobile App,Credit Card,Paid,Pickup,8,39.22,195.26,10,19,,,South,WH_Timisoara,EMP00110,EMP00134,0,,,313.76,31.38,282.38,53.65,336.03,1562.08,-1279.7,-453.18,2023-02-13 00:00:00,2023-02-14 00:00:00
63,5,20231031,2023-10-31 11:16:00,DOC000224,PRD00395,CUST000808,EMP00113,BL005,ACC10001,ORD-647697,INV-671205,Online,Bank Transfer,Paid,Standard,6,302.82,113.78,20,19,LOYALTY10,,Central,WH_Cluj,EMP00008,EMP00106,0,,,1816.92,363.38,1453.54,276.17,1729.71,682.68,770.86,53.03,2023-10-31 00:00:00,2023-11-02 00:00:00
64,6,20230926,2023-09-26 15:40:00,DOC004545,PRD00233,CUST000352,EMP00153,BL002,ACC10001,ORD-429754,INV-762867,Mobile App,Credit Card,Paid,Standard,45,893.02,389.57,10,19,,VIP,Central,WH_Cluj,EMP00159,EMP00061,0,,,40185.9,4018.59,36167.31,6871.79,43039.1,17530.65,18636.66,51.53,2023-09-26 00:00:00,2023-09-27 00:00:00
65,7,20241113,2024-11-13 09:32:00,DOC001911,PRD00451,CUST000204,EMP00126,BL004,ACC10002,ORD-371669,INV-303767,Online,Bank Transfer,Paid,Standard,34,330.27,334.71,25,19,SUMMER23,,West,WH_Cluj,EMP00214,EMP00228,0,,Rush Order,11229.18,2807.3,8421.88,1600.16,10022.04,11380.14,-2958.26,-35.13,2024-11-13 00:00:00,2024-11-17 00:00:00
66,5,20240204,2024-02-04 16:19:00,DOC001786,PRD00243,CUST000076,EMP00193,BL001,ACC10002,ORD-137787,INV-144731,Online,Credit Card,Paid,Standard,62,162.66,321.45,0,19,,,East,WH_Bucharest,EMP00132,EMP00128,0,,,10084.92,0,10084.92,1916.13,12001.05,19929.9,-9844.98,-97.62,2024-02-04 00:00:00,2024-02-05 00:00:00
67,5,20240825,2024-08-25 16:54:00,DOC003038,PRD00267,CUST000724,EMP00229,BL001,ACC10002,ORD-568419,INV-228810,Mobile App,PayPal,Paid,Standard,82,369.69,442.21,15,19,,VIP,Central,WH_Timisoara,EMP00057,EMP00114,0,,,30314.58,4547.19,25767.39,4895.8,30663.19,36261.22,-10493.83,-40.73,2024-08-25 00:00:00,2024-08-28 00:00:00
68,4,20250710,2025-07-10 18:17:00,DOC003757,PRD00004,CUST000971,EMP00193,BL001,ACC10002,ORD-932326,INV-584221,Online,Cash,Paid,Standard,44,910.59,132.87,10,19,,Corporate,East,WH_Bucharest,EMP00141,EMP00075,0,,,40065.96,4006.6,36059.36,6851.28,42910.64,5846.28,30213.08,83.79,2025-07-10 00:00:00,2025-07-14 00:00:00
