Document_ID,Document_Number,Document_Type,Document_Date,Status
DOC000164,INV-000164,Stock_Movement,2024-05-20 00:00:00,Posted
DOC000165,INV-000165,Purchase_Order,2023-03-25 00:00:00,Posted
DOC000166,INV-000166,Purchase_Order,2025-09-19 00:00:00,Posted
DOC000167,INV-000167,Sales_Invoice,2025-04-09 00:00:00,Approved
DOC000168,INV-000168,Payroll,2025-05-10 00:00:00,Posted
DOC000169,INV-000169,Sales_Invoice,2023-12-09 00:00:00,Posted
DOC000170,INV-000170,Stock_Movement,2025-05-15 00:00:00,Posted
DOC000171,INV-000171,Purchase_Order,2023-10-20 00:00:00,Posted
DOC000172,INV-000172,Stock_Movement,2024-08-20 00:00:00,Posted
DOC000173,INV-000173,Stock_Movement,2024-10-06 00:00:00,Approved
DOC000174,INV-000174,Budget_Entry,2024-03-23 00:00:00,Posted
DOC000175,INV-000175,Budget_Entry,2024-11-20 00:00:00,Posted
DOC000176,INV-000176,Stock_Movement,2025-09-28 00:00:00,Cancelled
DOC000177,INV-000177,Purchase_Order,2025-05-04 00:00:00,Posted
DOC000178,INV-000178,Stock_Movement,2024-05-16 00:00:00,Posted
DOC000179,INV-000179,Budget_Entry,2025-02-02 00:00:00,Posted
DOC000180,INV-000180,Purchase_Order,2025-01-04 00:00:00,Posted
DOC000181,INV-000181,Stock_Movement,2023-09-07 00:00:00,Approved
DOC000182,INV-000182,Payroll,2024-08-23 00:00:00,Posted
DOC000183,INV-000183,Payroll,2023-05-05 00:00:00,Posted
DOC000184,INV-000184,Stock_Movement,2023-04-23 00:00:00,Posted
DOC000185,INV-000185,Purchase_Order,2025-09-07 00:00:00,Posted
DOC000186,INV-000186,Stock_Movement,2023-05-30 00:00:00,Posted
DOC000187,INV-000187,Stock_Movement,2025-05-24 00:00:00,Approved
DOC000188,INV-000188,Budget_Entry,2023-12-09 00:00:00,Posted
DOC000189,INV-000189,Payroll,2024-08-02 00:00:00,Posted
DOC000190,INV-000190,Budget_Entry,2025-02-21 00:00:00,Posted
DOC000191,INV-000191,Budget_Entry,2023-11-17 00:00:00,Posted
DOC000192,INV-000192,Stock_Movement,2025-04-01 00:00:00,Posted
DOC000193,INV-000193,Budget_Entry,2024-06-15 00:00:00,Cancelled
DOC000194,INV-000194,Payroll,2024-05-06 00:00:00,Cancelled
DOC000195,INV-000195,Budget_Entry,2024-09-03 00:00:00,Posted
DOC000196,INV-000196,Payroll,2023-09-09 00:00:00,Posted
DOC000197,INV-000197,Budget_Entry,2023-06-22 00:00:00,Posted
DOC000198,INV-000198,Payroll,2025-05-24 00:00:00,Posted
DOC000199,INV-000199,Budget_Entry,2023-07-20 00:00:00,Posted
DOC000200,INV-000200,Budget_Entry,2023-08-05 00:00:00,Cancelled
DOC000201,INV-000201,Purchase_Order,2024-01-11 00:00:00,Posted
DOC000202,INV-000202,Payroll,2023-01-11 00:00:00,Posted
DOC000203,INV-000203,Payroll,2025-11-01 00:00:00,Posted
DOC000204,INV-000204,Payroll,2025-06-10 00:00:00,Posted
DOC000205,INV-000205,Sales_Invoice,2024-03-10 00:00:00,Posted
DOC000206,INV-000206,Budget_Entry,2025-03-28 00:00:00,Posted
DOC000207,INV-000207,Payroll,2025-07-19 00:00:00,Posted
DOC000208,INV-000208,Sales_Invoice,2024-11-21 00:00:00,Posted
DOC000209,INV-000209,Purchase_Order,2025-05-04 00:00:00,Approved
DOC000210,INV-000210,Payroll,2025-02-22 00:00:00,Posted
DOC000211,INV-000211,Payroll,2023-11-15 00:00:00,Posted
DOC000212,INV-000212,Sales_Invoice,2025-04-23 00:00:00,Approved
DOC000213,INV-000213,Budget_Entry,2024-09-12 00:00:00,Posted
DOC000214,INV-000214,Purchase_Order,2025-02-23 00:00:00,Cancelled
DOC000215,INV-000215,Payroll,2024-02-01 00:00:00,Posted
DOC000216,INV-000216,Budget_Entry,2025-12-17 00:00:00,Posted
DOC000217,INV-000217,Purchase_Order,2024-04-04 00:00:00,Posted
DOC000218,INV-000218,Stock_Movement,2023-03-02 00:00:00,Approved
DOC000219,INV-000219,Stock_Movement,2024-01-04 00:00:00,Posted
DOC000220,INV-000220,Purchase_Order,2024-12-19 00:00:00,Posted
DOC000221,INV-000221,Sales_Invoice,2024-06-29 00:00:00,Posted
DOC000222,INV-000222,Purchase_Order,2025-11-06 00:00:00,Posted
DOC000223,INV-000223,Purchase_Order,2024-05-10 00:00:00,Posted
DOC000224,INV-000224,Sales_Invoice,2024-05-11 00:00:00,Posted
DOC000225,INV-000225,Sales_Invoice,2024-05-19 00:00:00,Posted
DOC000226,INV-000226,Budget_Entry,2025-08-26 00:00:00,Posted
DOC000227,INV-000227,Budget_Entry,2025-12-28 00:00:00,Posted
DOC000228,INV-000228,Sales_Invoice,2023-06-10 00:00:00,Draft
DOC000229,INV-000229,Stock_Movement,2024-12-18 00:00:00,Posted
DOC000230,INV-000230,Stock_Movement,2025-09-19 00:00:00,Approved
DOC000231,INV-000231,Purchase_Order,2023-09-26 00:00:00,Cancelled
DOC000232,INV-000232,Payroll,2024-11-29 00:00:00,Posted
DOC000233,INV-000233,Purchase_Order,2025-05-14 00:00:00,Posted
DOC000234,INV-000234,Purchase_Order,2023-12-16 00:00:00,Approved
DOC000235,INV-000235,Payroll,2023-04-20 00:00:00,Posted
DOC000236,INV-000236,Sales_Invoice,2024-02-11 00:00:00,Posted
DOC000237,INV-000237,Stock_Movement,2024-10-11 00:00:00,Posted
DOC000238,INV-000238,Purchase_Order,2023-02-20 00:00:00,Posted
DOC000239,INV-000239,Payroll,2025-12-27 00:00:00,Posted
DOC000240,INV-000240,Budget_Entry,2024-08-18 00:00:00,Posted
DOC000241,INV-000241,Purchase_Order,2025-09-05 00:00:00,Posted
DOC000242,INV-000242,Stock_Movement,2025-12-01 00:00:00,Posted
DOC000243,INV-000243,Sales_Invoice,2024-12-31 00:00:00,Posted
DOC000244,INV-000244,Purchase_Order,2023-02-26 00:00:00,Posted
DOC000245,INV-000245,Purchase_Order,2025-01-07 00:00:00,Posted
DOC000246,INV-000246,Payroll,2023-07-15 00:00:00,Posted
DOC000247,INV-000247,Budget_Entry,2025-12-21 00:00:00,Posted
DOC000248,INV-000248,Budget_Entry,2023-04-22 00:00:00,Cancelled
DOC000249,INV-000249,Sales_Invoice,2025-02-03 00:00:00,Draft
DOC000250,INV-000250,Stock_Movement,2024-12-11 00:00:00,Posted
DOC000251,INV-000251,Sales_Invoice,2025-08-05 00:00:00,Posted
DOC000252,INV-000252,Purchase_Order,2023-01-26 00:00:00,Posted
DOC000253,INV-000253,Purchase_Order,2024-02-14 00:00:00,Posted
DOC000254,INV-000254,Budget_Entry,2025-01-27 00:00:00,Posted
DOC000255,INV-000255,Stock_Movement,2024-06-14 00:00:00,Approved
DOC000256,INV-000256,Payroll,2025-01-18 00:00:00,Posted
DOC000257,INV-000257,Stock_Movement,2023-09-03 00:00:00,Posted
DOC000258,INV-000258,Purchase_Order,2024-10-23 00:00:00,Posted
DOC000259,INV-000259,Payroll,2025-06-27 00:00:00,Posted
DOC000260,INV-000260,Stock_Movement,2024-01-31 00:00:00,Posted
DOC000261,INV-000261,Stock_Movement,2024-06-05 00:00:00,Posted
DOC000262,INV-000262,Payroll,2025-07-14 00:00:00,Posted
DOC000263,INV-000263,Purchase_Order,2023-09-21 00:00:00,Posted
DOC000264,INV-000264,Stock_Movement,2025-02-28 00:00:00,Cancelled
DOC000265,INV-000265,Payroll,2023-06-21 00:00:00,Posted
DOC000266,INV-000266,Purchase_Order,2023-09-22 00:00:00,Posted
DOC000267,INV-000267,Payroll,2025-11-15 00:00:00,Posted
DOC000268,INV-000268,Payroll,2024-04-20 00:00:00,Posted
DOC000269,INV-000269,Stock_Movement,2023-12-22 00:00:00,Draft
DOC000270,INV-000270,Purchase_Order,2025-11-15 00:00:00,Cancelled
DOC000271,INV-000271,Stock_Movement,2023-02-03 00:00:00,Posted
DOC000272,INV-000272,Sales_Invoice,2023-09-21 00:00:00,Posted
DOC000273,INV-000273,Sales_Invoice,2025-03-26 00:00:00,Approved
DOC000274,INV-000274,Purchase_Order,2025-05-24 00:00:00,Posted
DOC000275,INV-000275,Payroll,2025-01-23 00:00:00,Posted
DOC000276,INV-000276,Stock_Movement,2024-07-19 00:00:00,Posted
DOC000277,INV-000277,Stock_Movement,2024-04-06 00:00:00,Approved
DOC000278,INV-000278,Purchase_Order,2024-10-16 00:00:00,Posted
DOC000279,INV-000279,Purchase_Order,2023-03-22 00:00:00,Draft
DOC000280,INV-000280,Sales_Invoice,2025-01-26 00:00:00,Posted
DOC000281,INV-000281,Budget_Entry,2025-05-19 00:00:00,Posted
DOC000282,INV-000282,Purchase_Order,2025-12-05 00:00:00,Posted
DOC000283,INV-000283,Budget_Entry,2024-08-21 00:00:00,Posted
DOC000284,INV-000284,Purchase_Order,2025-03-17 00:00:00,Posted
DOC000285,INV-000285,Payroll,2025-12-12 00:00:00,Posted
DOC000286,INV-000286,Payroll,2025-09-10 00:00:00,Posted
DOC000287,INV-000287,Sales_Invoice,2024-12-04 00:00:00,Approved
DOC000288,INV-000288,Sales_Invoice,2024-04-20 00:00:00,Posted
DOC000289,INV-000289,Budget_Entry,2024-08-14 00:00:00,Posted
DOC000290,INV-000290,Purchase_Order,2023-01-16 00:00:00,Cancelled
DOC000291,INV-000291,Stock_Movement,2024-05-01 00:00:00,Posted
DOC000292,INV-000292,Sales_Invoice,2024-12-06 00:00:00,Posted
DOC000293,INV-000293,Stock_Movement,2024-09-11 00:00:00,Posted
DOC000294,INV-000294,Stock_Movement,2025-10-15 00:00:00,Posted
DOC000295,INV-000295,Purchase_Order,2025-02-15 00:00:00,Approved
DOC000296,INV-000296,Budget_Entry,2024-03-22 00:00:00,Draft
DOC000297,INV-000297,Purchase_Order,2023-10-17 00:00:00,Posted
DOC000298,INV-000298,Sales_Invoice,2023-07-28 00:00:00,Posted
DOC000299,INV-000299,Stock_Movement,2024-02-17 00:00:00,Approved
DOC000300,INV-000300,Purchase_Order,2024-11-07 00:00:00,Posted
DOC000301,INV-000301,Purchase_Order,2024-10-25 00:00:00,Cancelled
DOC000302,INV-000302,Purchase_Order,2023-10-17 00:00:00,Posted
DOC000303,INV-000303,Sales_Invoice,2023-05-31 00:00:00,Posted
DOC000304,INV-000304,Budget_Entry,2025-05-04 00:00:00,Cancelled
DOC000305,INV-000305,Purchase_Order,2024-08-30 00:00:00,Posted
DOC000306,INV-000306,Sales_Invoice,2024-01-05 00:00:00,Posted
DOC000307,INV-000307,Stock_Movement,2024-12-05 00:00:00,Posted
DOC000308,INV-000308,Payroll,2025-04-05 00:00:00,Approved
DOC000309,INV-000309,Sales_Invoice,2025-10-01 00:00:00,Posted
DOC000310,INV-000310,Payroll,2024-01-12 00:00:00,Posted
DOC000311,INV-000311,Purchase_Order,2025-08-30 00:00:00,Posted
DOC000312,INV-000312,Purchase_Order,2023-04-28 00:00:00,Posted
DOC000313,INV-000313,Sales_Invoice,2025-10-25 00:00:00,Approved
DOC000314,INV-000314,Payroll,2024-03-19 00:00:00,Posted
DOC000315,INV-000315,Purchase_Order,2025-01-24 00:00:00,Posted
DOC000316,INV-000316,Stock_Movement,2024-10-01 00:00:00,Posted
DOC000317,INV-000317,Budget_Entry,2023-05-04 00:00:00,Approved
DOC000318,INV-000318,Budget_Entry,2024-10-19 00:00:00,Approved
DOC000319,INV-000319,Purchase_Order,2025-04-01 00:00:00,Posted
DOC000320,INV-000320,Payroll,2024-10-25 00:00:00,Cancelled
DOC000321,INV-000321,Purchase_Order,2023-12-26 00:00:00,Approved
DOC000322,INV-000322,Payroll,2024-09-14 00:00:00,Posted
DOC000323,INV-000323,Stock_Movement,2025-12-16 00:00:00,Posted
DOC000324,INV-000324,Payroll,2025-07-07 00:00:00,Approved
DOC000325,INV-000325,Purchase_Order,2024-03-27 00:00:00,Posted
DOC000326,INV-000326,Stock_Movement,2023-04-30 00:00:00,Posted
DOC000327,INV-000327,Sales_Invoice,2024-08-04 00:00:00,Posted
DOC000328,INV-000328,Budget_Entry,2023-04-09 00:00:00,Posted
DOC000329,INV-000329,Purchase_Order,2024-05-28 00:00:00,Posted
DOC000330,INV-000330,Purchase_Order,2024-10-25 00:00:00,Posted
DOC000331,INV-000331,Purchase_Order,2024-02-05 00:00:00,Posted
DOC000332,INV-000332,Stock_Movement,2023-12-31 00:00:00,Posted
DOC000333,INV-000333,Sales_Invoice,2024-08-03 00:00:00,Posted
DOC000334,INV-000334,Payroll,2024-09-12 00:00:00,Posted
DOC000335,INV-000335,Sales_Invoice,2025-04-07 00:00:00,Posted
DOC000336,INV-000336,Stock_Movement,2023-09-04 00:00:00,Posted
DOC000337,INV-000337,Purchase_Order,2024-03-09 00:00:00,Posted
DOC000338,INV-000338,Budget_Entry,2024-09-06 00:00:00,Posted
DOC000339,INV-000339,Purchase_Order,2025-07-31 00:00:00,Posted
DOC000340,INV-000340,Payroll,2025-08-20 00:00:00,Posted
DOC000341,INV-000341,Budget_Entry,2024-09-15 00:00:00,Posted
DOC000342,INV-000342,Purchase_Order,2023-11-17 00:00:00,Posted
DOC000343,INV-000343,Budget_Entry,2025-05-05 00:00:00,Approved
DOC000344,INV-000344,Sales_Invoice,2023-03-03 00:00:00,Posted
DOC000345,INV-000345,Stock_Movement,2023-10-27 00:00:00,Posted
DOC000346,INV-000346,Purchase_Order,2024-02-07 00:00:00,Posted
DOC000347,INV-000347,Payroll,2025-08-12 00:00:00,Cancelled
DOC000348,INV-000348,Sales_Invoice,2023-09-10 00:00:00,Posted
DOC000349,INV-000349,Purchase_Order,2024-04-22 00:00:00,Posted
DOC000350,INV-000350,Sales_Invoice,2023-06-09 00:00:00,Posted
DOC000351,INV-000351,Payroll,2025-08-18 00:00:00,Approved
DOC000352,INV-000352,Purchase_Order,2023-07-24 00:00:00,Posted
DOC000353,INV-000353,Payroll,2025-05-07 00:00:00,Posted
DOC000354,INV-000354,Budget_Entry,2025-01-29 00:00:00,Posted
DOC000355,INV-000355,Payroll,2024-12-21 00:00:00,Draft
DOC000356,INV-000356,Budget_Entry,2025-11-06 00:00:00,Posted
DOC000357,INV-000357,Purchase_Order,2023-03-09 00:00:00,Posted
DOC000358,INV-000358,Budget_Entry,2023-05-13 00:00:00,Posted
DOC000359,INV-000359,Purchase_Order,2025-07-07 00:00:00,Posted
DOC000360,INV-000360,Purchase_Order,2024-03-05 00:00:00,Posted
DOC000361,INV-000361,Stock_Movement,2023-11-04 00:00:00,Posted
DOC000362,INV-000362,Purchase_Order,2024-10-11 00:00:00,Posted
DOC000363,INV-000363,Budget_Entry,2024-02-16 00:00:00,Posted
DOC000364,INV-000364,Stock_Movement,2023-04-07 00:00:00,Posted
DOC000365,INV-000365,Stock_Movement,2025-11-16 00:00:00,Approved
DOC000366,INV-000366,Purchase_Order,2025-12-19 00:00:00,Cancelled
DOC000367,INV-000367,Payroll,2023-07-21 00:00:00,Approved
DOC000368,INV-000368,Payroll,2025-01-31 00:00:00,Posted
DOC000369,INV-000369,Stock_Movement,2025-05-23 00:00:00,Posted
DOC000370,INV-000370,Purchase_Order,2024-08-03 00:00:00,Posted
DOC000371,INV-000371,Payroll,2024-01-05 00:00:00,Posted
DOC000372,INV-000372,Purchase_Order,2024-06-16 00:00:00,Posted
DOC000373,INV-000373,Purchase_Order,2025-06-17 00:00:00,Posted
DOC000374,INV-000374,Stock_Movement,2024-08-29 00:00:00,Posted
DOC000375,INV-000375,Stock_Movement,2025-05-22 00:00:00,Draft
DOC000376,INV-000376,Sales_Invoice,2025-02-08 00:00:00,Posted
DOC000377,INV-000377,Payroll,2025-04-13 00:00:00,Posted
DOC000378,INV-000378,Payroll,2025-09-25 00:00:00,Posted
DOC000379,INV-000379,Payroll,2025-07-26 00:00:00,Approved
