HR_ID,Date_ID,Transaction_Date,Employee_ID,Business_Line_ID,Account_ID,Transaction_Type,Payroll_Period,Payment_Method,Payment_Status,Amount,Hours_Worked,Overtime_Hours,Hourly_Rate,Gross_Amount,Bonus_Type,Training_Course,Travel_Destination,Cost_Center,Project_Code,Approved_By,Processed_By,Notes,Approval_Date,Processing_Date,Tax_Amount,Social_Security,Health_Insurance,Net_Amount,Effective_Hourly_Rate
11,20230405,2023-04-05 00:00:00,EMP00246,BL004,ACC30001,Salary,2023-04,Bank Transfer,Paid,6500.86,83,34,145.47,13443.33,,,,CC-3729,PROJ-001,EMP00223,EMP00075,,2023-04-11 00:00:00,2023-04-08 00:00:00,1344.33,3360.83,1344.33,7393.84,89.08
12,20240805,2024-08-05 00:00:00,EMP00214,BL002,ACC30001,Salary,2024-08,Bank Transfer,Paid,11225.51,60,34,105.71,5282.01,,,,CC-5721,,EMP00222,EMP00228,Reimbursement,2024-08-08 00:00:00,2024-08-06 00:00:00,528.2,1320.5,528.2,2905.11,48.42
13,20241124,2024-11-24 00:00:00,EMP00183,BL006,ACC30001,Bonus,2024-11,Bank Transfer,Paid,5440.01,78,2,89.94,920.98,Project,,,CC-2930,,EMP00046,EMP00180,,2024-11-29 00:00:00,2024-11-29 00:00:00,92.1,230.24,92.1,506.54,6.49
14,20250205,2025-02-05 00:00:00,EMP00128,BL004,ACC30001,Salary,2025-02,Bank Transfer,Paid,3902.74,56,14,90.94,7523.06,,,,CC-8484,,EMP00046,EMP00116,,2025-02-07 00:00:00,2025-02-06 00:00:00,752.31,1880.76,752.31,4137.68,73.89
15,20250704,2025-07-04 00:00:00,EMP00065,BL006,ACC30001,Bonus,2025-07,Bank Transfer,Paid,1047.73,46,17,128.94,1588.56,Referral,,,CC-3915,PROJ-002,EMP00147,EMP00184,,2025-07-07 00:00:00,2025-07-12 00:00:00,158.86,397.14,158.86,873.7,18.99
16,20240321,2024-03-21 00:00:00,EMP00221,BL003,ACC30001,Salary,2024-03,Bank Transfer,Paid,13769.19,30,27,142.56,9339.54,,,,CC-5285,,EMP00193,EMP00180,,2024-03-23 00:00:00,2024-03-29 00:00:00,933.95,2334.89,933.95,5136.75,171.22
17,20230523,2023-05-23 00:00:00,EMP00032,BL003,ACC30001,Bonus,2023-05,Check,Paid,5106.45,23,31,116.24,1492.52,Project,,,CC-8315,,EMP00161,EMP00038,,2023-05-28 00:00:00,2023-05-24 00:00:00,149.25,373.13,149.25,820.89,35.69
18,20250217,2025-02-17 00:00:00,EMP00058,BL005,ACC30001,Bonus,2025-02,Bank Transfer,Paid,7483.11,86,39,115.19,11335.15,Annual,,,CC-9776,,EMP00046,EMP00157,,2025-02-21 00:00:00,2025-02-19 00:00:00,1133.52,2833.79,1133.52,6234.32,72.49
19,20251107,2025-11-07 00:00:00,EMP00069,BL006,ACC30001,Benefits,2025-11,Bank Transfer,Paid,14923.37,54,22,115.97,4409.99,,,,CC-2755,,EMP00079,EMP00210,Advance Payment,2025-11-11 00:00:00,2025-11-13 00:00:00,441,1102.5,441,2425.49,44.92
20,20230201,2023-02-01 00:00:00,EMP00112,BL002,ACC30001,Training,2023-02,Bank Transfer,Paid,8276.57,132,13,43.73,3222.94,,Leadership,,CC-6906,,EMP00060,EMP00184,,2023-02-02 00:00:00,2023-02-02 00:00:00,322.29,805.74,322.29,1772.62,13.43
21,20250308,2025-03-08 00:00:00,EMP00139,BL002,ACC30001,Training,2025-03,Check,Pending,6306.2,128,37,36.17,7334.46,,Soft Skills,,CC-9806,PROJ-002,EMP00019,EMP00228,Reimbursement,2025-03-12 00:00:00,2025-03-12 00:00:00,733.45,1833.62,733.45,4033.94,31.52
22,20230915,2023-09-15 00:00:00,EMP00017,BL003,ACC30001,Benefits,2023-09,Check,Pending,4730.86,83,35,97.59,811.59,,,,CC-6904,,EMP00247,EMP00180,,2023-09-20 00:00:00,2023-09-20 00:00:00,81.16,202.9,81.16,446.37,5.38
23,20241019,2024-10-19 00:00:00,EMP00075,BL005,ACC30001,Salary,2024-10,Bank Transfer,Paid,8101.65,5,29,147.87,7075.21,,,,CC-7533,,EMP00100,EMP00204,,2024-10-24 00:00:00,2024-10-21 00:00:00,707.52,1768.8,707.52,3891.37,778.27
24,20241207,2024-12-07 00:00:00,EMP00195,BL001,ACC30001,Salary,2024-12,Cash,Paid,11450.85,81,19,88.89,2544.88,,,,CC-9794,,EMP00223,EMP00157,,2024-12-08 00:00:00,2024-12-08 00:00:00,254.49,636.22,254.49,1399.68,17.28
25,20230619,2023-06-19 00:00:00,EMP00186,BL004,ACC30001,Salary,2023-06,Bank Transfer,Paid,6679.22,93,34,113.35,9652.84,,,,CC-8383,PROJ-001,EMP00063,EMP00047,,2023-06-21 00:00:00,2023-06-20 00:00:00,965.28,2413.21,965.28,5309.07,57.09
26,20240512,2024-05-12 00:00:00,EMP00124,BL003,ACC30001,Salary,2024-05,Bank Transfer,Paid,6637.7,33,17,87.8,884.03,,,,CC-4238,,EMP00063,EMP00239,,2024-05-14 00:00:00,2024-05-18 00:00:00,88.4,221.01,88.4,486.22,14.73
27,20230216,2023-02-16 00:00:00,EMP00208,BL004,ACC30001,Training,2023-02,Bank Transfer,Pending,2067.83,175,23,70.15,13505.4,,Soft Skills,,CC-3978,,EMP00147,EMP00172,,2023-02-17 00:00:00,2023-02-21 00:00:00,1350.54,3376.35,1350.54,7427.97,42.45
28,20230416,2023-04-16 00:00:00,EMP00153,BL002,ACC30001,Salary,2023-04,Bank Transfer,Pending,14146.61,73,5,98.3,3739.88,,,,CC-1786,,EMP00061,EMP00228,,2023-04-19 00:00:00,2023-04-23 00:00:00,373.99,934.97,373.99,2056.93,28.18
29,20240919,2024-09-19 00:00:00,EMP00162,BL004,ACC30001,Benefits,2024-09,Bank Transfer,Paid,4609.6,110,3,105.7,13798.75,,,,CC-6273,,EMP00147,EMP00184,,2024-09-24 00:00:00,2024-09-21 00:00:00,1379.88,3449.69,1379.88,7589.3,68.99
30,20231218,2023-12-18 00:00:00,EMP00084,BL004,ACC30001,Bonus,2023-12,Bank Transfer,Paid,11093.56,42,5,149.06,14369.56,Project,,,CC-7130,,EMP00247,EMP00208,,2023-12-19 00:00:00,2023-12-23 00:00:00,1436.96,3592.39,1436.96,7903.25,188.17
31,20250212,2025-02-12 00:00:00,EMP00205,BL005,ACC30001,Salary,2025-02,Bank Transfer,Paid,3175.1,132,20,129.14,7963.83,,,,CC-5804,,EMP00161,EMP00184,Adjustment,2025-02-16 00:00:00,2025-02-14 00:00:00,796.38,1990.96,796.38,4380.11,33.18
32,20250616,2025-06-16 00:00:00,EMP00214,BL003,ACC30001,Bonus,2025-06,Bank Transfer,Paid,8300.45,52,2,23.98,607.24,Annual,,,CC-4235,,EMP00217,EMP00208,,2025-06-22 00:00:00,2025-06-17 00:00:00,60.72,151.81,60.72,333.99,6.42
33,20240312,2024-03-12 00:00:00,EMP00018,BL002,ACC30001,Bonus,2024-03,Bank Transfer,Paid,13476.2,147,22,144.95,8658.73,Performance,,,CC-4981,,EMP00222,EMP00157,,2024-03-14 00:00:00,2024-03-16 00:00:00,865.87,2164.68,865.87,4762.31,32.4
34,20241016,2024-10-16 00:00:00,EMP00202,BL001,ACC30001,Bonus,2024-10,Bank Transfer,Paid,11936.91,194,7,77.97,7789.86,Referral,,,CC-9679,,EMP00009,EMP00205,,2024-10-17 00:00:00,2024-10-17 00:00:00,778.99,1947.46,778.99,4284.42,22.08
35,20250823,2025-08-23 00:00:00,EMP00078,BL001,ACC30001,Travel,2025-08,Bank Transfer,Paid,4473.1,165,39,105.03,14621.48,,,EU,CC-7349,PROJ-003,EMP00113,EMP00182,Reimbursement,2025-08-26 00:00:00,2025-08-24 00:00:00,1462.15,3655.37,1462.15,8041.81,48.74
36,20241118,2024-11-18 00:00:00,EMP00074,BL001,ACC30001,Bonus,2024-11,Bank Transfer,Paid,10242.89,193,0,36.39,3106.46,Project,,,CC-5032,,EMP00013,EMP00075,,2024-11-21 00:00:00,2024-11-19 00:00:00,310.65,776.62,310.65,1708.54,8.85
37,20250515,2025-05-15 00:00:00,EMP00027,BL002,ACC30001,Salary,2025-05,Bank Transfer,Paid,7277.59,86,39,75.48,11342.7,,,,CC-1066,,EMP00247,EMP00016,Adjustment,2025-05-20 00:00:00,2025-05-21 00:00:00,1134.27,2835.68,1134.27,6238.48,72.54
38,20250523,2025-05-23 00:00:00,EMP00046,BL002,ACC30001,Salary,2025-05,Bank Transfer,Paid,1555.26,193,26,21.43,13820.61,,,,CC-9548,,EMP00198,EMP00120,,2025-05-29 00:00:00,2025-05-31 00:00:00,1382.06,3455.15,1382.06,7601.34,39.39
39,20230110,2023-01-10 00:00:00,EMP00019,BL006,ACC30001,Salary,2023-01,Bank Transfer,Paid,14986.98,106,10,117.09,13348.56,,,,CC-3867,,EMP00054,EMP00038,,2023-01-12 00:00:00,2023-01-14 00:00:00,1334.86,3337.14,1334.86,7341.7,69.26
40,20230816,2023-08-16 00:00:00,EMP00007,BL004,ACC30001,Salary,2023-08,Bank Transfer,Paid,10119.58,160,24,90.66,12129.3,,,,CC-1740,,EMP00232,EMP00157,,2023-08-20 00:00:00,2023-08-24 00:00:00,1212.93,3032.32,1212.93,6671.12,41.69
41,20240422,2024-04-22 00:00:00,EMP00120,BL004,ACC30001,Training,2024-04,Bank Transfer,Paid,4904.08,66,14,142.29,12453.99,,Soft Skills,,CC-3089,,EMP00042,EMP00075,,2024-04-23 00:00:00,2024-04-26 00:00:00,1245.4,3113.5,1245.4,6849.69,103.78
42,20230312,2023-03-12 00:00:00,EMP00168,BL005,ACC30001,Salary,2023-03,Cash,Paid,584.67,88,5,78.59,12293.37,,,,CC-1284,,EMP00226,EMP00173,Final Settlement,2023-03-15 00:00:00,2023-03-20 00:00:00,1229.34,3073.34,1229.34,6761.35,76.83
43,20250616,2025-06-16 00:00:00,EMP00113,BL002,ACC30001,Benefits,2025-06,Bank Transfer,Paid,11064.69,80,19,94.66,739.05,,,,CC-4017,,EMP00147,EMP00204,,2025-06-17 00:00:00,2025-06-21 00:00:00,73.9,184.76,73.9,406.49,5.08
44,20240129,2024-01-29 00:00:00,EMP00132,BL001,ACC30001,Salary,2024-01,Bank Transfer,Paid,6932.28,94,20,84.96,5161.99,,,,CC-1502,,EMP00026,EMP00047,,2024-02-01 00:00:00,2024-02-07 00:00:00,516.2,1290.5,516.2,2839.09,30.2
45,20250617,2025-06-17 00:00:00,EMP00176,BL001,ACC30001,Salary,2025-06,Bank Transfer,Pending,14262.57,158,36,129,12092.56,,,,CC-3961,,EMP00020,EMP00144,Final Settlement,2025-06-21 00:00:00,2025-06-25 00:00:00,1209.26,3023.14,1209.26,6650.9,42.09
46,20251030,2025-10-30 00:00:00,EMP00101,BL006,ACC30001,Salary,2025-10,Bank Transfer,Paid,1784.99,0,29,86.91,3748.09,,,,CC-9354,,EMP00232,EMP00173,Advance Payment,2025-11-01 00:00:00,2025-11-05 00:00:00,374.81,937.02,374.81,2061.45,0
47,20231111,2023-11-11 00:00:00,EMP00205,BL001,ACC30001,Salary,2023-11,Bank Transfer,Paid,9923.83,63,20,146.95,6917.84,,,,CC-5956,,EMP00072,EMP00104,,2023-11-13 00:00:00,2023-11-14 00:00:00,691.78,1729.46,691.78,3804.82,60.39
48,20230715,2023-07-15 00:00:00,EMP00094,BL006,ACC30001,Commission,2023-07,Bank Transfer,Paid,14305.8,186,19,92.54,12126.69,,,,CC-4601,,EMP00020,EMP00184,,2023-07-17 00:00:00,2023-07-19 00:00:00,1212.67,3031.67,1212.67,6669.68,35.86
49,20231103,2023-11-03 00:00:00,EMP00132,BL002,ACC30001,Salary,2023-11,Cash,Paid,849.09,197,30,99.92,8069.11,,,,CC-9921,PROJ-003,EMP00013,EMP00078,,2023-11-08 00:00:00,2023-11-06 00:00:00,806.91,2017.28,806.91,4438.01,22.53
50,20250519,2025-05-19 00:00:00,EMP00133,BL004,ACC30001,Benefits,2025-05,Bank Transfer,Paid,8256.9,83,8,49.66,5264.79,,,,CC-3008,,EMP00222,EMP00144,,2025-05-22 00:00:00,2025-05-22 00:00:00,526.48,1316.2,526.48,2895.63,34.89
51,20240123,2024-01-23 00:00:00,EMP00088,BL004,ACC30001,Salary,2024-01,Bank Transfer,Paid,4904.43,83,3,35.5,1320.62,,,,CC-4841,,EMP00093,EMP00157,,2024-01-25 00:00:00,2024-01-31 00:00:00,132.06,330.16,132.06,726.34,8.75
52,20240613,2024-06-13 00:00:00,EMP00191,BL004,ACC30001,Salary,2024-06,Bank Transfer,Paid,13807.94,72,17,128.23,5139.1,,,,CC-8356,,EMP00027,EMP00075,Final Settlement,2024-06-16 00:00:00,2024-06-22 00:00:00,513.91,1284.78,513.91,2826.5,39.26
53,20241123,2024-11-23 00:00:00,EMP00111,BL003,ACC30001,Overtime,2024-11,Bank Transfer,On Hold,10754.24,119,35,52.57,9208.61,,,,CC-7056,,EMP00020,EMP00184,,2024-11-28 00:00:00,2024-11-28 00:00:00,920.86,2302.15,920.86,5064.74,42.56
54,20240416,2024-04-16 00:00:00,EMP00032,BL002,ACC30001,Training,2024-04,Bank Transfer,Paid,14939.9,168,34,125.41,625.79,,Compliance,,CC-4581,,EMP00013,EMP00173,,2024-04-17 00:00:00,2024-04-23 00:00:00,62.58,156.45,62.58,344.18,2.05
55,20251125,2025-11-25 00:00:00,EMP00250,BL003,ACC30001,Salary,2025-11,Bank Transfer,Paid,12026.25,95,18,130.08,1624.18,,,,CC-4701,PROJ-002,EMP00196,EMP00172,,2025-12-01 00:00:00,2025-11-29 00:00:00,162.42,406.04,162.42,893.3,9.4
56,20251108,2025-11-08 00:00:00,EMP00108,BL001,ACC30001,Salary,2025-11,Bank Transfer,Pending,4814.24,92,3,102.52,13557.27,,,,CC-8034,,EMP00198,EMP00179,,2025-11-13 00:00:00,2025-11-17 00:00:00,1355.73,3389.32,1355.73,7456.49,81.05
57,20230412,2023-04-12 00:00:00,EMP00077,BL005,ACC30001,Bonus,2023-04,Bank Transfer,Paid,669.93,128,21,34.71,10214.34,Referral,,,CC-8344,PROJ-002,EMP00079,EMP00182,Advance Payment,2023-04-16 00:00:00,2023-04-19 00:00:00,1021.43,2553.58,1021.43,5617.9,43.89
58,20250903,2025-09-03 00:00:00,EMP00249,BL003,ACC30001,Bonus,2025-09,Bank Transfer,Paid,14383.73,185,1,106.74,611.96,Project,,,CC-8420,,EMP00190,EMP00172,,2025-09-07 00:00:00,2025-09-07 00:00:00,61.2,152.99,61.2,336.57,1.82
59,20251110,2025-11-10 00:00:00,EMP00079,BL003,ACC30001,Salary,2025-11,Bank Transfer,On Hold,2827.96,146,39,30.86,10139.44,,,,CC-6164,,EMP00193,EMP00205,,2025-11-14 00:00:00,2025-11-15 00:00:00,1013.94,2534.86,1013.94,5576.7,38.2
60,20231228,2023-12-28 00:00:00,EMP00021,BL002,ACC30001,Training,2023-12,Check,Paid,9906.25,108,16,149.49,5036.06,,Compliance,,CC-8392,,EMP00099,EMP00038,,2024-01-01 00:00:00,2023-12-31 00:00:00,503.61,1259.02,503.61,2769.82,25.65
61,20231222,2023-12-22 00:00:00,EMP00200,BL004,ACC30001,Bonus,2023-12,Bank Transfer,Paid,8842.4,124,12,73.79,12623.21,Annual,,,CC-9734,,EMP00046,EMP00173,,2023-12-25 00:00:00,2023-12-25 00:00:00,1262.32,3155.8,1262.32,6942.77,55.99
62,20250727,2025-07-27 00:00:00,EMP00236,BL002,ACC30001,Salary,2025-07,Bank Transfer,Paid,5367.21,192,28,72.9,8639.42,,,,CC-9176,,EMP00079,EMP00038,Advance Payment,2025-07-28 00:00:00,2025-07-31 00:00:00,863.94,2159.86,863.94,4751.68,24.75
63,20250618,2025-06-18 00:00:00,EMP00232,BL005,ACC30001,Salary,2025-06,Bank Transfer,Paid,4336.6,166,9,112.98,5508.02,,,,CC-1522,,EMP00072,EMP00047,,2025-06-21 00:00:00,2025-06-26 00:00:00,550.8,1377,550.8,3029.42,18.25
64,20241211,2024-12-11 00:00:00,EMP00140,BL004,ACC30001,Overtime,2024-12,Bank Transfer,Paid,12864.73,76,15,132.99,5471.6,,,,CC-4405,,EMP00093,EMP00075,,2024-12-12 00:00:00,2024-12-19 00:00:00,547.16,1367.9,547.16,3009.38,39.6
65,20250709,2025-07-09 00:00:00,EMP00164,BL003,ACC30001,Training,2025-07,Bank Transfer,On Hold,14976.68,193,6,105.23,11726.14,,Technical,,CC-5875,PROJ-001,EMP00019,EMP00244,,2025-07-14 00:00:00,2025-07-16 00:00:00,1172.61,2931.54,1172.61,6449.38,33.42
66,20240304,2024-03-04 00:00:00,EMP00074,BL001,ACC30001,Benefits,2024-03,Bank Transfer,Pending,4160.39,138,31,78.58,528.01,,,,CC-9243,,EMP00019,EMP00182,Final Settlement,2024-03-08 00:00:00,2024-03-05 00:00:00,52.8,132,52.8,290.41,2.1
67,20240628,2024-06-28 00:00:00,EMP00148,BL003,ACC30001,Benefits,2024-06,Bank Transfer,Paid,672.9,50,9,30.87,8842.61,,,,CC-1161,,EMP00046,EMP00120,,2024-07-01 00:00:00,2024-07-05 00:00:00,884.26,2210.65,884.26,4863.44,97.27
68,20230602,2023-06-02 00:00:00,EMP00206,BL006,ACC30001,Salary,2023-06,Bank Transfer,On Hold,13918.24,32,7,79.84,11440.11,,,,CC-3569,,EMP00041,EMP00180,,2023-06-06 00:00:00,2023-06-11 00:00:00,1144.01,2860.03,1144.01,6292.06,196.63
69,20231228,2023-12-28 00:00:00,EMP00062,BL002,ACC30001,Salary,2023-12,Bank Transfer,Paid,6355.13,154,12,79.41,2670.85,,,,CC-5974,,EMP00159,EMP00204,,2024-01-02 00:00:00,2024-01-01 00:00:00,267.08,667.71,267.08,1468.98,9.54
70,20250519,2025-05-19 00:00:00,EMP00122,BL006,ACC30001,Salary,2025-05,Bank Transfer,On Hold,5134.61,122,38,127.97,9818.86,,,,CC-8780,,EMP00041,EMP00078,,2025-05-22 00:00:00,2025-05-23 00:00:00,981.89,2454.72,981.89,5400.36,44.27
71,20240303,2024-03-03 00:00:00,EMP00089,BL006,ACC30001,Benefits,2024-03,Bank Transfer,Paid,11179.44,153,11,119.8,9416.2,,,,CC-9407,,EMP00222,EMP00139,Adjustment,2024-03-05 00:00:00,2024-03-08 00:00:00,941.62,2354.05,941.62,5178.91,33.85
72,20230212,2023-02-12 00:00:00,EMP00193,BL001,ACC30001,Benefits,2023-02,Bank Transfer,Paid,9841.47,130,36,121.52,10277.71,,,,CC-4689,,EMP00046,EMP00157,,2023-02-14 00:00:00,2023-02-14 00:00:00,1027.77,2569.43,1027.77,5652.74,43.48
73,20241124,2024-11-24 00:00:00,EMP00068,BL003,ACC30001,Salary,2024-11,Bank Transfer,Paid,2946.84,50,0,90.65,10028.69,,,,CC-9249,,EMP00061,EMP00104,,2024-11-27 00:00:00,2024-11-25 00:00:00,1002.87,2507.17,1002.87,5515.78,110.32
74,20231127,2023-11-27 00:00:00,EMP00011,BL001,ACC30001,Salary,2023-11,Bank Transfer,Paid,7387.36,76,2,78.11,9827.82,,,,CC-6551,PROJ-002,EMP00100,EMP00208,,2023-12-02 00:00:00,2023-11-30 00:00:00,982.78,2456.96,982.78,5405.3,71.12
75,20240831,2024-08-31 00:00:00,EMP00179,BL004,ACC30001,Salary,2024-08,Bank Transfer,Paid,12490,147,35,47.58,4823.23,,,,CC-7046,,EMP00078,EMP00053,,2024-09-03 00:00:00,2024-09-02 00:00:00,482.32,1205.81,482.32,2652.78,18.05
76,20241116,2024-11-16 00:00:00,EMP00082,BL006,ACC30001,Salary,2024-11,Bank Transfer,Paid,5522.05,169,12,62.53,13560.94,,,,CC-3191,,EMP00076,EMP00053,,2024-11-20 00:00:00,2024-11-24 00:00:00,1356.09,3390.24,1356.09,7458.52,44.13
77,20240518,2024-05-18 00:00:00,EMP00232,BL005,ACC30001,Training,2024-05,Cash,Paid,4960.96,169,3,107.1,618.79,,Leadership,,CC-1274,PROJ-002,EMP00217,EMP00180,,2024-05-23 00:00:00,2024-05-22 00:00:00,61.88,154.7,61.88,340.33,2.01
78,20230207,2023-02-07 00:00:00,EMP00023,BL002,ACC30001,Benefits,2023-02,Bank Transfer,Paid,5766.54,124,14,77.09,14118.13,,,,CC-8757,,EMP00054,EMP00139,,2023-02-11 00:00:00,2023-02-08 00:00:00,1411.81,3529.53,1411.81,7764.98,62.62
79,20230308,2023-03-08 00:00:00,EMP00025,BL005,ACC30001,Salary,2023-03,Check,Paid,2924.84,76,7,81.35,12951.09,,,,CC-9575,PROJ-001,EMP00013,EMP00173,,2023-03-13 00:00:00,2023-03-15 00:00:00,1295.11,3237.77,1295.11,7123.1,93.72
80,20250809,2025-08-09 00:00:00,EMP00213,BL002,ACC30001,Travel,2025-08,Bank Transfer,Paid,5594.13,153,8,54.92,11234.12,,,EU,CC-2486,PROJ-001,EMP00223,EMP00182,,2025-08-15 00:00:00,2025-08-16 00:00:00,1123.41,2808.53,1123.41,6178.77,40.38
81,20250413,2025-04-13 00:00:00,EMP00054,BL003,ACC30001,Commission,2025-04,Bank Transfer,Paid,5582.86,38,26,66.86,8185.68,,,,CC-2903,,EMP00217,EMP00172,Reimbursement,2025-04-18 00:00:00,2025-04-15 00:00:00,818.57,2046.42,818.57,4502.12,118.48
82,20240111,2024-01-11 00:00:00,EMP00230,BL002,ACC30001,Travel,2024-01,Bank Transfer,On Hold,11556.25,17,2,50.2,11943.94,,,Domestic,CC-1190,,EMP00161,EMP00053,,2024-01-15 00:00:00,2024-01-13 00:00:00,1194.39,2985.98,1194.39,6569.18,386.42
83,20230604,2023-06-04 00:00:00,EMP00175,BL003,ACC30001,Benefits,2023-06,Bank Transfer,Paid,11510.95,128,9,27.95,13837.04,,,,CC-7869,,EMP00199,EMP00180,,2023-06-09 00:00:00,2023-06-11 00:00:00,1383.7,3459.26,1383.7,7610.38,59.46
84,20241119,2024-11-19 00:00:00,EMP00233,BL006,ACC30001,Salary,2024-11,Bank Transfer,Paid,10558.59,195,20,25.32,12501.76,,,,CC-9404,,EMP00147,EMP00157,,2024-11-20 00:00:00,2024-11-25 00:00:00,1250.18,3125.44,1250.18,6875.96,35.26
85,20251205,2025-12-05 00:00:00,EMP00004,BL001,ACC30001,Bonus,2025-12,Bank Transfer,Paid,14597.87,103,19,88.21,6534.61,Performance,,,CC-3345,,EMP00199,EMP00139,Advance Payment,2025-12-09 00:00:00,2025-12-09 00:00:00,653.46,1633.65,653.46,3594.04,34.89
86,20240708,2024-07-08 00:00:00,EMP00134,BL002,ACC30001,Benefits,2024-07,Bank Transfer,Paid,3240.57,68,39,18.81,9231.43,,,,CC-3706,,EMP00061,EMP00053,,2024-07-11 00:00:00,2024-07-14 00:00:00,923.14,2307.86,923.14,5077.29,74.67
87,20250803,2025-08-03 00:00:00,EMP00210,BL006,ACC30001,Salary,2025-08,Check,Paid,5731.94,100,24,79.01,773.2,,,,CC-9306,,EMP00222,EMP00038,,2025-08-05 00:00:00,2025-08-05 00:00:00,77.32,193.3,77.32,425.26,4.25
88,20250705,2025-07-05 00:00:00,EMP00025,BL001,ACC30001,Salary,2025-07,Bank Transfer,Paid,10153.42,198,24,72.89,9428.53,,,,CC-9650,,EMP00020,EMP00239,,2025-07-08 00:00:00,2025-07-14 00:00:00,942.85,2357.13,942.85,5185.7,26.19
89,20230412,2023-04-12 00:00:00,EMP00246,BL006,ACC30001,Salary,2023-04,Bank Transfer,Paid,13435.73,128,16,56.89,2752.56,,,,CC-4590,,EMP00193,EMP00204,Advance Payment,2023-04-16 00:00:00,2023-04-17 00:00:00,275.26,688.14,275.26,1513.9,11.83
90,20240804,2024-08-04 00:00:00,EMP00123,BL006,ACC30001,Salary,2024-08,Bank Transfer,Paid,10520.06,47,10,149.67,10692.36,,,,CC-1673,,EMP00226,EMP00228,,2024-08-06 00:00:00,2024-08-11 00:00:00,1069.24,2673.09,1069.24,5880.79,125.12
91,20230519,2023-05-19 00:00:00,EMP00210,BL004,ACC30001,Training,2023-05,Bank Transfer,Paid,4854.51,123,6,149.26,13624.68,,Compliance,,CC-4633,PROJ-001,EMP00217,EMP00239,,2023-05-20 00:00:00,2023-05-24 00:00:00,1362.47,3406.17,1362.47,7493.57,60.92
