Supplier_ID,Supplier_Name,Supplier_Type,Country,Payment_Terms,Quality_Rating,Is_Active
SUPP00118,Supplier_118,Wholesaler,China,Prepaid,1,0
SUPP00119,Supplier_119,Distributor,Italy,Net 30,3,1
SUPP00120,Supplier_120,Wholesaler,Poland,Net 30,5,0
SUPP00121,Supplier_121,Manufacturer,Poland,Prepaid,4,1
SUPP00122,Supplier_122,Distributor,Italy,Net 90,1,1
SUPP00123,Supplier_123,Wholesaler,Romania,Net 90,1,1
SUPP00124,Supplier_124,Wholesaler,Romania,Net 60,4,1
SUPP00125,Supplier_125,Manufacturer,Poland,Prepaid,1,1
SUPP00126,Supplier_126,Manufacturer,China,Net 30,3,1
SUPP00127,Supplier_127,Wholesaler,Poland,Prepaid,5,1
SUPP00128,Supplier_128,Distributor,Poland,Net 30,1,0
SUPP00129,Supplier_129,Manufacturer,Italy,Net 60,3,1
SUPP00130,Supplier_130,Wholesaler,Romania,Net 60,4,0
SUPP00131,Supplier_131,Wholesaler,Italy,Net 60,5,1
SUPP00132,Supplier_132,Manufacturer,Poland,Net 60,4,1
SUPP00133,Supplier_133,Distributor,Germany,Net 30,5,1
SUPP00134,Supplier_134,Distributor,China,Net 90,1,1
SUPP00135,Supplier_135,Distributor,Poland,Net 30,1,1
SUPP00136,Supplier_136,Manufacturer,Italy,Net 60,5,1
SUPP00137,Supplier_137,Manufacturer,Germany,Net 90,3,1
SUPP00138,Supplier_138,Manufacturer,Germany,Prepaid,3,1
SUPP00139,Supplier_139,Distributor,Poland,Net 30,3,0
SUPP00140,Supplier_140,Distributor,Romania,Prepaid,2,1
SUPP00141,Supplier_141,Manufacturer,Germany,Net 60,3,1
SUPP00142,Supplier_142,Manufacturer,China,Prepaid,1,1
SUPP00143,Supplier_143,Manufacturer,Italy,Net 90,2,1
SUPP00144,Supplier_144,Distributor,Italy,Net 90,3,1
SUPP00145,Supplier_145,Wholesaler,Italy,Net 90,1,1
SUPP00146,Supplier_146,Wholesaler,Poland,Net 30,2,1
SUPP00147,Supplier_147,Distributor,Italy,Prepaid,1,1
SUPP00148,Supplier_148,Manufacturer,Italy,Prepaid,5,1
SUPP00149,Supplier_149,Manufacturer,China,Prepaid,1,1
SUPP00150,Supplier_150,Manufacturer,Romania,Net 60,2,1
SUPP00151,Supplier_151,Manufacturer,Poland,Net 30,3,1
SUPP00152,Supplier_152,Distributor,Poland,Net 30,2,1
SUPP00153,Supplier_153,Wholesaler,Italy,Prepaid,3,1
SUPP00154,Supplier_154,Wholesaler,China,Net 30,3,1
SUPP00155,Supplier_155,Distributor,Germany,Prepaid,4,1
SUPP00156,Supplier_156,Manufacturer,Italy,Prepaid,5,1
SUPP00157,Supplier_157,Wholesaler,Italy,Prepaid,4,1
SUPP00158,Supplier_158,Distributor,Poland,Net 90,2,0
SUPP00159,Supplier_159,Manufacturer,Poland,Net 60,4,1
SUPP00160,Supplier_160,Wholesaler,Italy,Net 30,3,1
SUPP00161,Supplier_161,Distributor,Poland,Net 60,2,1
SUPP00162,Supplier_162,Wholesaler,China,Net 90,4,1
SUPP00163,Supplier_163,Wholesaler,Germany,Net 30,1,1
SUPP00164,Supplier_164,Distributor,Germany,Prepaid,5,1
SUPP00165,Supplier_165,Distributor,Germany,Net 60,1,0
SUPP00166,Supplier_166,Wholesaler,Italy,Net 90,2,1
SUPP00167,Supplier_167,Wholesaler,Italy,Net 30,4,1
SUPP00168,Supplier_168,Distributor,Italy,Net 30,3,0
SUPP00169,Supplier_169,Manufacturer,China,Net 60,4,0
SUPP00170,Supplier_170,Manufacturer,Germany,Net 60,2,1
SUPP00171,Supplier_171,Manufacturer,Poland,Net 30,2,1
SUPP00172,Supplier_172,Manufacturer,Poland,Net 30,2,1
SUPP00173,Supplier_173,Distributor,Romania,Net 90,2,1
SUPP00174,Supplier_174,Manufacturer,Romania,Prepaid,4,1
SUPP00175,Supplier_175,Wholesaler,Poland,Prepaid,1,0
SUPP00176,Supplier_176,Manufacturer,Germany,Net 90,3,1
SUPP00177,Supplier_177,Distributor,Italy,Net 30,3,1
SUPP00178,Supplier_178,Manufacturer,Poland,Net 60,5,1
SUPP00179,Supplier_179,Manufacturer,Poland,Net 60,2,1
SUPP00180,Supplier_180,Distributor,Romania,Net 30,2,1
SUPP00181,Supplier_181,Manufacturer,Germany,Net 90,2,1
SUPP00182,Supplier_182,Distributor,Poland,Net 30,1,1
SUPP00183,Supplier_183,Manufacturer,Italy,Net 60,2,1
SUPP00184,Supplier_184,Distributor,Italy,Net 30,5,1
SUPP00185,Supplier_185,Manufacturer,China,Net 30,5,1
SUPP00186,Supplier_186,Wholesaler,Italy,Net 90,1,1
SUPP00187,Supplier_187,Wholesaler,Poland,Prepaid,2,1
SUPP00188,Supplier_188,Distributor,Poland,Net 60,4,0
SUPP00189,Supplier_189,Distributor,Italy,Net 60,4,0
SUPP00190,Supplier_190,Distributor,Romania,Net 30,3,1
SUPP00191,Supplier_191,Wholesaler,Germany,Net 60,1,1
SUPP00192,Supplier_192,Distributor,Poland,Net 60,4,1
SUPP00193,Supplier_193,Manufacturer,Italy,Prepaid,3,1
SUPP00194,Supplier_194,Distributor,Italy,Net 60,5,1
SUPP00195,Supplier_195,Distributor,Poland,Net 60,3,1
SUPP00196,Supplier_196,Manufacturer,China,Net 90,2,1
SUPP00197,Supplier_197,Manufacturer,Germany,Net 90,2,1
SUPP00198,Supplier_198,Wholesaler,Poland,Net 90,5,1
SUPP00199,Supplier_199,Manufacturer,Italy,Net 90,1,1
SUPP00200,Supplier_200,Manufacturer,China,Net 90,2,1
