Budget_ID,Date_ID,Budget_Period,Account_ID,Business_Line_ID,Employee_ID,Budget_Version,Budget_Type,Budget_Category,Cost_Center,Project_Code,Budgeted_Amount,Actual_Amount,Committed_Amount,Forecast_Amount,Budget_Owner,Approval_Status,Approved_By,Notes,Approval_Date,Last_Modified_Date,Variance,Variance_Pct,Available_Budget,Utilization_Pct,Forecast_Variance
39,20230612,2023-06-12 00:00:00,ACC50001,BL002,EMP00066,V2_Revised,Quarterly,Revenue,CC-6044,,65141.59,10601.96,54703.18,1944.11,EMP00193,Approved,EMP00233,,2023-06-20 00:00:00,2023-06-29 00:00:00,-54539.63,-83.72,10438.41,16.28,-63197.48
40,20240321,2024-03-21 00:00:00,ACC20001,BL004,EMP00250,V3_Final,Project-Based,OPEX,CC-5427,,48228.38,93251.89,49297.07,23295.01,EMP00146,Approved,EMP00161,,2024-03-22 00:00:00,2024-04-05 00:00:00,45023.51,93.35,-1068.69,193.35,-24933.37
41,20240928,2024-09-28 00:00:00,ACC40001,BL003,EMP00080,V1_Original,Monthly,OPEX,CC-4475,PROJ-002,48624.16,94739.25,33353.4,51118.96,EMP00089,Approved,EMP00047,,2024-10-10 00:00:00,2024-10-10 00:00:00,46115.09,94.84,15270.76,194.84,2494.8
42,20250802,2025-08-02 00:00:00,ACC50001,BL003,EMP00236,V1_Original,Monthly,OPEX,CC-7568,,24188.94,18297.55,94187.73,43774.23,EMP00214,Approved,EMP00199,,2025-08-06 00:00:00,2025-08-24 00:00:00,-5891.39,-24.36,-69998.79,75.64,19585.29
43,20250912,2025-09-12 00:00:00,ACC30004,BL004,EMP00039,V2_Revised,Project-Based,OPEX,CC-8931,,9223.55,80025.47,84871.14,67061.28,EMP00240,Pending,EMP00009,,2025-09-13 00:00:00,2025-09-27 00:00:00,70801.92,767.62,-75647.59,867.62,57837.73
44,20230922,2023-09-22 00:00:00,ACC20001,BL006,EMP00034,V3_Final,Rolling,OPEX,CC-4643,PROJ-003,80042.89,40511.6,46584.07,65579.77,EMP00212,Draft,EMP00159,,2023-09-28 00:00:00,2023-10-06 00:00:00,-39531.29,-49.39,33458.82,50.61,-14463.12
45,20241225,2024-12-25 00:00:00,ACC30001,BL003,EMP00176,V3_Final,Rolling,Revenue,CC-8943,,92282.01,22972.92,63413,13723.33,EMP00222,Pending,EMP00216,,2025-01-08 00:00:00,2025-01-02 00:00:00,-69309.09,-75.11,28869.01,24.89,-78558.68
46,20231120,2023-11-20 00:00:00,ACC30003,BL003,EMP00086,V1_Original,Rolling,OPEX,CC-9119,,97190.59,37995.54,63238.63,17512.83,EMP00198,Approved,EMP00198,,2023-11-27 00:00:00,2023-11-22 00:00:00,-59195.05,-60.91,33951.96,39.09,-79677.76
47,20230312,2023-03-12 00:00:00,ACC20002,BL005,EMP00099,V1_Original,Rolling,OPEX,CC-4479,PROJ-001,26008.28,45921.66,57632.37,76238.71,EMP00191,Approved,EMP00082,,2023-03-19 00:00:00,2023-04-01 00:00:00,19913.38,76.57,-31624.09,176.57,50230.43
48,20230329,2023-03-29 00:00:00,ACC40002,BL004,EMP00134,V1_Original,Annual,OPEX,CC-5901,,50031.47,51440.44,55008.49,57614.62,EMP00211,Pending,EMP00076,,2023-04-04 00:00:00,2023-04-02 00:00:00,1408.97,2.82,-4977.02,102.82,7583.15
49,20250704,2025-07-04 00:00:00,ACC10002,BL001,EMP00122,V2_Revised,Monthly,CAPEX,CC-3499,PROJ-002,71579.24,95119.97,1426.95,92648.37,EMP00212,Approved,EMP00113,,2025-07-05 00:00:00,2025-07-12 00:00:00,23540.73,32.89,70152.29,132.89,21069.13
50,20240413,2024-04-13 00:00:00,ACC40003,BL003,EMP00245,V2_Revised,Quarterly,OPEX,CC-9171,PROJ-003,17366.2,26000.21,43120.15,102098.59,EMP00114,Approved,EMP00093,,2024-04-23 00:00:00,2024-04-18 00:00:00,8634.01,49.72,-25753.95,149.72,84732.39
51,20240731,2024-07-31 00:00:00,ACC30004,BL006,EMP00209,V2_Revised,Rolling,OPEX,CC-6838,,81534.13,85308.59,71233.05,34476.28,EMP00190,Approved,EMP00041,,2024-08-14 00:00:00,2024-08-28 00:00:00,3774.46,4.63,10301.08,104.63,-47057.85
52,20230428,2023-04-28 00:00:00,ACC20001,BL003,EMP00135,V2_Revised,Monthly,OPEX,CC-4880,PROJ-001,13228.04,63904.1,31004.46,11473.65,EMP00137,Draft,EMP00027,Under Budget,2023-04-30 00:00:00,2023-05-23 00:00:00,50676.06,383.1,-17776.42,483.1,-1754.39
53,20241102,2024-11-02 00:00:00,ACC10002,BL006,EMP00141,V2_Revised,Annual,CAPEX,CC-5045,PROJ-003,14654,31061.62,49072.97,85219.4,EMP00243,Approved,EMP00217,,2024-11-06 00:00:00,2024-11-30 00:00:00,16407.62,111.97,-34418.97,211.97,70565.4
54,20241230,2024-12-30 00:00:00,ACC20002,BL005,EMP00141,V2_Revised,Monthly,Revenue,CC-6124,,98596.33,97675.38,94684.9,42338.05,EMP00191,Approved,EMP00079,Needs Review,2025-01-02 00:00:00,2025-01-04 00:00:00,-920.95,-0.93,3911.43,99.07,-56258.28
55,20230604,2023-06-04 00:00:00,ACC40002,BL004,EMP00080,V1_Original,Annual,CAPEX,CC-2956,,55855.06,53371.27,12955.87,50882.82,EMP00190,Draft,EMP00198,Over Budget,2023-06-07 00:00:00,2023-06-06 00:00:00,-2483.79,-4.45,42899.19,95.55,-4972.24
56,20241024,2024-10-24 00:00:00,ACC20001,BL002,EMP00225,V3_Final,Annual,Revenue,CC-3161,,46078.96,20380.39,2242.74,44105.09,EMP00110,Approved,EMP00198,,2024-10-26 00:00:00,2024-11-04 00:00:00,-25698.57,-55.77,43836.22,44.23,-1973.87
57,20231005,2023-10-05 00:00:00,ACC40002,BL004,EMP00096,V3_Final,Annual,OPEX,CC-9227,,9506.78,99707.85,90594.32,100345.85,EMP00242,Approved,EMP00098,,2023-10-10 00:00:00,2023-10-25 00:00:00,90201.07,948.81,-81087.54,1048.81,90839.07
58,20231129,2023-11-29 00:00:00,ACC50002,BL006,EMP00135,V2_Revised,Annual,Headcount,CC-4451,,61444.59,100725.28,39130.24,99497.3,EMP00136,Approved,EMP00216,,2023-12-11 00:00:00,2023-12-26 00:00:00,39280.69,63.93,22314.35,163.93,38052.71
59,20250612,2025-06-12 00:00:00,ACC60001,BL006,EMP00114,V2_Revised,Annual,CAPEX,CC-3280,,34718.98,89811.81,17438.49,25363.54,EMP00046,Approved,EMP00159,,2025-06-23 00:00:00,2025-06-19 00:00:00,55092.83,158.68,17280.49,258.68,-9355.44
60,20230627,2023-06-27 00:00:00,ACC30001,BL001,EMP00074,V2_Revised,Rolling,Revenue,CC-4040,,92818.49,93697.18,69317.06,77447.68,EMP00091,Approved,EMP00042,,2023-06-29 00:00:00,2023-07-14 00:00:00,878.69,0.95,23501.43,100.95,-15370.81
61,20241025,2024-10-25 00:00:00,ACC30002,BL004,EMP00010,V1_Original,Quarterly,Revenue,CC-4018,PROJ-002,8827.07,77074.24,8523.76,20060.72,EMP00230,Draft,EMP00041,,2024-11-02 00:00:00,2024-11-05 00:00:00,68247.17,773.16,303.31,873.16,11233.65
62,20250730,2025-07-30 00:00:00,ACC10001,BL001,EMP00160,V2_Revised,Quarterly,OPEX,CC-4890,,59043.02,77456.49,1800.58,93296.71,EMP00142,Draft,EMP00066,,2025-08-06 00:00:00,2025-08-10 00:00:00,18413.47,31.19,57242.44,131.19,34253.69
63,20241025,2024-10-25 00:00:00,ACC60001,BL004,EMP00040,V2_Revised,Project-Based,OPEX,CC-6554,PROJ-001,80699.11,78631.76,91790.5,55160.49,EMP00225,Approved,EMP00242,Over Budget,2024-10-31 00:00:00,2024-10-31 00:00:00,-2067.35,-2.56,-11091.39,97.44,-25538.62
64,20240103,2024-01-03 00:00:00,ACC50002,BL006,EMP00096,V2_Revised,Monthly,Headcount,CC-2518,,84990.38,7090.6,14566.58,92911.29,EMP00215,Draft,EMP00069,Under Budget,2024-01-16 00:00:00,2024-01-11 00:00:00,-77899.78,-91.66,70423.8,8.34,7920.91
65,20250429,2025-04-29 00:00:00,ACC30004,BL003,EMP00143,V3_Final,Annual,CAPEX,CC-8462,,86402.76,18576.44,32576.04,85488.66,EMP00203,Approved,EMP00147,,2025-05-11 00:00:00,2025-05-12 00:00:00,-67826.32,-78.5,53826.72,21.5,-914.1
66,20240707,2024-07-07 00:00:00,ACC20002,BL003,EMP00148,V1_Original,Monthly,OPEX,CC-4761,PROJ-003,88515.41,46838.14,45993.29,62869.15,EMP00250,Approved,EMP00180,Over Budget,2024-07-18 00:00:00,2024-07-23 00:00:00,-41677.27,-47.08,42522.12,52.92,-25646.26
67,20231026,2023-10-26 00:00:00,ACC30003,BL002,EMP00134,V2_Revised,Monthly,OPEX,CC-3001,PROJ-002,73951.53,54410.82,43083.75,104890.24,EMP00249,Approved,EMP00121,,2023-10-27 00:00:00,2023-11-17 00:00:00,-19540.71,-26.42,30867.78,73.58,30938.71
68,20250525,2025-05-25 00:00:00,ACC30003,BL002,EMP00074,V3_Final,Annual,Revenue,CC-3336,PROJ-001,50933.98,72183.93,85601.17,81524.13,EMP00241,Approved,EMP00233,Under Budget,2025-06-08 00:00:00,2025-06-15 00:00:00,21249.95,41.72,-34667.19,141.72,30590.15
69,20230513,2023-05-13 00:00:00,ACC10002,BL002,EMP00073,V1_Original,Quarterly,OPEX,CC-3120,,65204.55,57209.61,86696.34,32643.78,EMP00241,Pending,EMP00067,Needs Review,2023-05-24 00:00:00,2023-06-08 00:00:00,-7994.94,-12.26,-21491.79,87.74,-32560.77
70,20250919,2025-09-19 00:00:00,ACC50001,BL006,EMP00010,V2_Revised,Monthly,OPEX,CC-1510,,28058.2,22310.71,38885.04,63256.09,EMP00239,Approved,EMP00047,Over Budget,2025-09-27 00:00:00,2025-09-20 00:00:00,-5747.49,-20.48,-10826.84,79.52,35197.89
71,20251230,2025-12-30 00:00:00,ACC10001,BL006,EMP00165,V1_Original,Monthly,OPEX,CC-3128,PROJ-001,15284.96,69689.94,38559.62,32769.79,EMP00169,Approved,EMP00069,,2026-01-05 00:00:00,2026-01-01 00:00:00,54404.98,355.94,-23274.66,455.94,17484.83
72,20241128,2024-11-28 00:00:00,ACC40002,BL004,EMP00143,V2_Revised,Annual,Revenue,CC-4079,,7016.97,80189.22,48846,101889.83,EMP00001,Approved,EMP00223,,2024-11-29 00:00:00,2024-12-13 00:00:00,73172.25,1042.79,-41829.03,1142.79,94872.86
73,20250504,2025-05-04 00:00:00,ACC60001,BL003,EMP00097,V2_Revised,Annual,OPEX,CC-8678,,31415.56,67779.91,86931.82,86922.5,EMP00058,Approved,EMP00046,,2025-05-10 00:00:00,2025-05-25 00:00:00,36364.35,115.75,-55516.26,215.75,55506.94
74,20250816,2025-08-16 00:00:00,ACC50001,BL006,EMP00097,V2_Revised,Monthly,Headcount,CC-8036,,34759.01,19603.5,52506.41,95748.3,EMP00235,Approved,EMP00233,,2025-08-20 00:00:00,2025-09-06 00:00:00,-15155.51,-43.6,-17747.4,56.4,60989.29
75,20250830,2025-08-30 00:00:00,ACC10001,BL003,EMP00114,V3_Final,Annual,OPEX,CC-9835,PROJ-003,13710.53,23044.27,4215.29,1302.94,EMP00075,Approved,EMP00113,Under Budget,2025-08-31 00:00:00,2025-09-28 00:00:00,9333.74,68.08,9495.24,168.08,-12407.59
76,20250918,2025-09-18 00:00:00,ACC30001,BL001,EMP00149,V3_Final,Annual,OPEX,CC-1328,PROJ-003,4539.82,53284.28,18529.94,39332.69,EMP00137,Approved,EMP00145,Needs Review,2025-09-22 00:00:00,2025-10-09 00:00:00,48744.46,1073.71,-13990.12,1173.71,34792.87
77,20251023,2025-10-23 00:00:00,ACC50002,BL001,EMP00236,V2_Revised,Annual,Headcount,CC-8545,,8280.58,100510.21,59611.98,26253.44,EMP00092,Approved,EMP00047,,2025-11-05 00:00:00,2025-11-14 00:00:00,92229.63,1113.81,-51331.4,1213.81,17972.86
78,20251009,2025-10-09 00:00:00,ACC60001,BL001,EMP00236,V3_Final,Monthly,CAPEX,CC-7629,,45854.42,10572.58,26702.82,76316.89,EMP00065,Approved,EMP00054,,2025-10-12 00:00:00,2025-10-13 00:00:00,-35281.84,-76.94,19151.6,23.06,30462.47
79,20250203,2025-02-03 00:00:00,ACC30004,BL004,EMP00189,V2_Revised,Project-Based,OPEX,CC-7772,,8091.13,96926.35,51981.39,72246.75,EMP00090,Pending,EMP00161,,2025-02-08 00:00:00,2025-02-10 00:00:00,88835.22,1097.93,-43890.26,1197.93,64155.62
80,20241124,2024-11-24 00:00:00,ACC30004,BL002,EMP00237,V1_Original,Annual,CAPEX,CC-5816,PROJ-003,29605.27,92277.27,81727.64,17838.67,EMP00138,Approved,EMP00226,,2024-11-28 00:00:00,2024-12-22 00:00:00,62672,211.69,-52122.37,311.69,-11766.6
81,20240321,2024-03-21 00:00:00,ACC40002,BL003,EMP00031,V3_Final,Monthly,Revenue,CC-4259,PROJ-001,52599.91,35828.77,7129.45,24741.45,EMP00019,Approved,EMP00198,Over Budget,2024-03-22 00:00:00,2024-04-06 00:00:00,-16771.14,-31.88,45470.46,68.12,-27858.46
82,20241224,2024-12-24 00:00:00,ACC40002,BL005,EMP00236,V2_Revised,Project-Based,OPEX,CC-9788,,60966.99,19526.82,44209.33,36585.94,EMP00030,Draft,EMP00193,,2025-01-06 00:00:00,2025-01-07 00:00:00,-41440.17,-67.97,16757.66,32.03,-24381.05
83,20240415,2024-04-15 00:00:00,ACC20001,BL004,EMP00237,V2_Revised,Monthly,Headcount,CC-4321,PROJ-001,44180.92,36678.61,32517.84,19348.71,EMP00112,Approved,EMP00013,,2024-04-24 00:00:00,2024-04-28 00:00:00,-7502.31,-16.98,11663.08,83.02,-24832.21
84,20230822,2023-08-22 00:00:00,ACC40002,BL001,EMP00237,V1_Original,Quarterly,OPEX,CC-7926,PROJ-002,97134.94,7227.04,89867.66,59021.03,EMP00176,Approved,EMP00100,,2023-08-28 00:00:00,2023-09-01 00:00:00,-89907.9,-92.56,7267.28,7.44,-38113.91
85,20250912,2025-09-12 00:00:00,ACC30004,BL006,EMP00227,V1_Original,Monthly,Headcount,CC-3532,,85504.16,80629.23,16731.1,43528.35,EMP00029,Approved,EMP00161,,2025-09-14 00:00:00,2025-10-05 00:00:00,-4874.93,-5.7,68773.06,94.3,-41975.81
86,20240506,2024-05-06 00:00:00,ACC40003,BL005,EMP00212,V1_Original,Project-Based,CAPEX,CC-5758,,60646.25,82200.73,59465.16,99348.19,EMP00154,Approved,EMP00042,,2024-05-08 00:00:00,2024-05-15 00:00:00,21554.48,35.54,1181.09,135.54,38701.94
87,20250513,2025-05-13 00:00:00,ACC30002,BL005,EMP00032,V3_Final,Quarterly,OPEX,CC-8976,,20177.67,1472.59,68925.18,93503.58,EMP00025,Approved,EMP00013,,2025-05-20 00:00:00,2025-05-13 00:00:00,-18705.08,-92.7,-48747.51,7.3,73325.91
88,20241128,2024-11-28 00:00:00,ACC50002,BL006,EMP00074,V3_Final,Monthly,CAPEX,CC-8415,PROJ-001,62779.58,90628.27,55362.01,78244.18,EMP00178,Pending,EMP00247,,2024-12-03 00:00:00,2024-11-28 00:00:00,27848.69,44.36,7417.57,144.36,15464.6
89,20251026,2025-10-26 00:00:00,ACC60001,BL001,EMP00025,V1_Original,Project-Based,OPEX,CC-8615,,5157.75,92041.94,77245.29,79140.62,EMP00095,Pending,EMP00063,Under Budget,2025-10-31 00:00:00,2025-11-23 00:00:00,86884.19,1684.54,-72087.54,1784.54,73982.87
90,20241012,2024-10-12 00:00:00,ACC40002,BL003,EMP00160,V2_Revised,Quarterly,Revenue,CC-7853,,5784.67,107920.87,52612.99,6231.04,EMP00014,Approved,EMP00076,,2024-10-13 00:00:00,2024-10-20 00:00:00,102136.2,1765.64,-46828.32,1865.64,446.37
91,20250704,2025-07-04 00:00:00,ACC20001,BL004,EMP00034,V3_Final,Project-Based,CAPEX,CC-1985,,59529.71,49830.64,85086.8,25047.3,EMP00006,Approved,EMP00072,,2025-07-15 00:00:00,2025-08-02 00:00:00,-9699.07,-16.29,-25557.09,83.71,-34482.41
